,team,challenges,score,eligible
23,KUDoS,"{'challenge_name': ['Welcome', 'self-ssrf', 'reiwa_rot13', 'Tanuki Udon', 'free-free free', 'pp4', 'double-parser', 'Make ROP Great Again', 'Paragraph', 'packed', 'Jump', 'Trillion Bank'], 'challenge_category': ['welcome', 'web', 'crypto', 'web', 'pwnable', 'jail', 'web', 'pwnable', 'pwnable', 'reversing', 'reversing', 'web'], 'challenge_rank': ['4', '1', '46', '4', '3', '16', '10', '16', '47', '108', '56', '78'], 'solve_time': ['2024-11-23T05:00:07.751Z', '2024-11-23T06:03:01.594Z', '2024-11-23T06:59:33.626Z', '2024-11-23T09:34:47.809Z', '2024-11-23T09:37:19.092Z', '2024-11-23T12:47:00.479Z', '2024-11-23T15:40:11.99Z', '2024-11-23T16:06:01.698Z', '2024-11-23T20:41:45.206Z', '2024-11-23T21:29:04.041Z', '2024-11-23T23:27:16.899Z', '2024-11-24T01:07:05.004Z']}",1639,InternationalDomestic
24,SiestaFiestaPwneameEsta,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",1601,International
25,FluxFingers,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'F is for Flag', 'packed', 'Jump', 'Trillion Bank', 'dual_summon', 'Paragraph', 'qrackv', 'BabyQEMU', 'TOY/2'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'reversing', 'reversing', 'web', 'crypto', 'pwnable', 'reversing', 'pwnable', 'pwnable'], 'challenge_rank': ['267', '90', '7', '84', '39', '64', '51', '52', '6', '31', '13'], 'solve_time': ['2024-11-23T05:25:34.829Z', '2024-11-23T15:26:27.872Z', '2024-11-23T16:22:06.619Z', '2024-11-23T16:31:40.404Z', '2024-11-23T17:33:49.983Z', '2024-11-23T18:12:45.58Z', '2024-11-23T20:20:21.59Z', '2024-11-23T22:00:15.331Z', '2024-11-23T22:07:51.326Z', '2024-11-24T00:52:42.677Z', '2024-11-24T02:07:41.403Z']}",1582,International
26,Black Bauhinia,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'Trillion Bank', 'packed', 'Trillion Ether', 'Make ROP Great Again', 'Tanuki Udon', 'self-ssrf', 'Paragraph', '1linepyjail', 'Jump'], 'challenge_category': ['welcome', 'crypto', 'web', 'reversing', 'blockchain', 'pwnable', 'web', 'web', 'pwnable', 'jail', 'reversing'], 'challenge_rank': ['15', '40', '10', '47', '4', '10', '20', '18', '43', '11', '58'], 'solve_time': ['2024-11-23T05:00:14.591Z', '2024-11-23T06:50:16.597Z', '2024-11-23T07:29:42.832Z', '2024-11-23T08:25:09.449Z', '2024-11-23T08:34:45.423Z', '2024-11-23T12:08:57.864Z', '2024-11-23T15:04:26.12Z', '2024-11-23T16:44:08.637Z', '2024-11-23T18:32:25.832Z', '2024-11-23T20:27:37.525Z', '2024-11-24T00:20:53.67Z']}",1475,International
27,thehackerscrew,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'dual_summon', 'Tidal wave', 'Paragraph', 'Jump', 'Trillion Ether', 'qrackv', 'Trillion Bank', 'Tanuki Udon'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'crypto', 'crypto', 'pwnable', 'reversing', 'blockchain', 'reversing', 'web', 'web'], 'challenge_rank': ['144', '15', '45', '25', '4', '21', '19', '11', '7', '74', '37'], 'solve_time': ['2024-11-23T05:02:21.089Z', '2024-11-23T05:35:09.691Z', '2024-11-23T08:14:47.026Z', '2024-11-23T09:09:33.799Z', '2024-11-23T09:14:23.519Z', '2024-11-23T10:14:02.886Z', '2024-11-23T10:44:14.411Z', '2024-11-23T11:56:30.895Z', '2024-11-23T22:28:11.62Z', '2024-11-23T23:14:16.865Z', '2024-11-24T01:53:44.647Z']}",1474,International
28,zoozar,"{'challenge_name': ['Welcome', 'packed', 'reiwa_rot13', 'Trillion Bank', 'Tanuki Udon', 'dual_summon', 'self-ssrf', 'Jump', 'pp4', 'BabyQEMU', 'double-parser'], 'challenge_category': ['welcome', 'reversing', 'crypto', 'web', 'web', 'crypto', 'web', 'reversing', 'jail', 'pwnable', 'web'], 'challenge_rank': ['184', '8', '24', '9', '7', '36', '12', '40', '24', '27', '14'], 'solve_time': ['2024-11-23T05:03:57.964Z', '2024-11-23T05:34:08.559Z', '2024-11-23T06:04:23.032Z', '2024-11-23T07:11:51.311Z', '2024-11-23T10:54:41.823Z', '2024-11-23T11:38:14.165Z', '2024-11-23T13:19:10.1Z', '2024-11-23T17:56:49.877Z', '2024-11-23T18:18:55.569Z', '2024-11-23T23:34:57.323Z', '2024-11-24T03:50:28.83Z']}",1454,InternationalDomestic
29,Double Lariat,"{'challenge_name': ['packed', 'dual_summon', 'Welcome', 'Trillion Bank', 'reiwa_rot13', 'Jump', 'Paragraph', 'self-ssrf', 'F is for Flag', 'BabyQEMU', 'Make ROP Great Again'], 'challenge_category': ['reversing', 'crypto', 'welcome', 'web', 'crypto', 'reversing', 'pwnable', 'web', 'reversing', 'pwnable', 'pwnable'], 'challenge_rank': ['7', '3', '324', '5', '47', '11', '13', '8', '11', '35', '37'], 'solve_time': ['2024-11-23T05:31:49.402Z', '2024-11-23T06:11:13.837Z', '2024-11-23T06:14:56.092Z', '2024-11-23T06:38:11.257Z', '2024-11-23T07:00:33.494Z', '2024-11-23T08:51:40.556Z', '2024-11-23T08:54:11.763Z', '2024-11-23T09:35:52.833Z', '2024-11-23T20:58:24.175Z', '2024-11-24T03:35:19.588Z', '2024-11-24T04:55:14.69Z']}",1443,InternationalDomestic
30,idek,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'dual_summon', 'Make ROP Great Again', 'Tanuki Udon', 'self-ssrf', 'Trillion Bank', 'JavaScrypto', 'double-parser'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'crypto', 'pwnable', 'web', 'web', 'web', 'web', 'web'], 'challenge_rank': ['288', '19', '15', '28', '9', '11', '14', '66', '10', '12'], 'solve_time': ['2024-11-23T05:41:41.439Z', '2024-11-23T05:54:58.734Z', '2024-11-23T05:56:39.271Z', '2024-11-23T09:39:10.18Z', '2024-11-23T11:43:14.612Z', '2024-11-23T12:12:23.179Z', '2024-11-23T14:42:22.801Z', '2024-11-23T18:53:27.642Z', '2024-11-23T19:10:03.122Z', '2024-11-23T20:01:14.902Z']}",1432,International
31,TSG,"{'challenge_name': ['Trillion Bank', 'Welcome', 'Paragraph', 'free-free free', 'packed', 'pp4', 'reiwa_rot13', 'Jump', 'Reaction', 'Make ROP Great Again', 'dual_summon'], 'challenge_category': ['web', 'welcome', 'pwnable', 'pwnable', 'reversing', 'jail', 'crypto', 'reversing', 'reversing', 'pwnable', 'crypto'], 'challenge_rank': ['3', '363', '15', '2', '60', '14', '98', '45', '9', '22', '59'], 'solve_time': ['2024-11-23T06:06:49.103Z', '2024-11-23T07:05:57.014Z', '2024-11-23T09:02:05.218Z', '2024-11-23T09:15:39.626Z', '2024-11-23T11:15:33.286Z', '2024-11-23T12:08:52.527Z', '2024-11-23T18:11:19.892Z', '2024-11-23T18:15:19.224Z', '2024-11-23T18:57:22.994Z', '2024-11-23T19:12:43.002Z', '2024-11-24T02:00:07.04Z']}",1432,InternationalDomestic
32,RedRocket,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'dual_summon', 'Tidal wave', 'xiyi', 'BabyQEMU', 'Trillion Ether', 'packed', 'Paragraph'], 'challenge_category': ['welcome', 'crypto', 'crypto', 'crypto', 'crypto', 'pwnable', 'blockchain', 'reversing', 'pwnable'], 'challenge_rank': ['18', '5', '1', '2', '1', '12', '21', '102', '60'], 'solve_time': ['2024-11-23T05:00:21.038Z', '2024-11-23T05:18:44.297Z', '2024-11-23T05:47:12.411Z', '2024-11-23T07:05:45.598Z', '2024-11-23T11:21:21.79Z', '2024-11-23T12:23:25.319Z', '2024-11-23T19:00:52.227Z', '2024-11-23T20:01:45.929Z', '2024-11-24T03:42:50.043Z']}",1403,International
33,epic merger,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'dual_summon', 'Jump', 'Paragraph', 'Make ROP Great Again', 'BabyQEMU', 'free-free free', 'Tanuki Udon', 'Trillion Bank'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'crypto', 'reversing', 'pwnable', 'pwnable', 'pwnable', 'pwnable', 'web', 'web'], 'challenge_rank': ['143', '29', '44', '26', '20', '37', '18', '25', '19', '40', '83'], 'solve_time': ['2024-11-23T05:02:16.174Z', '2024-11-23T06:11:40.451Z', '2024-11-23T08:07:56.666Z', '2024-11-23T09:19:34.107Z', '2024-11-23T11:25:40.066Z', '2024-11-23T14:26:05.452Z', '2024-11-23T16:26:59.155Z', '2024-11-23T19:48:40.86Z', '2024-11-23T21:51:08.81Z', '2024-11-24T03:06:41.881Z', '2024-11-24T04:00:33.851Z']}",1358,International
34,ZK Lovers,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",1349,InternationalDomestic
35,Team Enu,"{'challenge_name': ['Welcome', 'packed', 'Tanuki Udon', 'free-free free', 'Trillion Bank', 'reiwa_rot13', 'F is for Flag', 'dual_summon', 'pp4', 'BabyQEMU'], 'challenge_category': ['welcome', 'reversing', 'web', 'pwnable', 'web', 'crypto', 'reversing', 'crypto', 'jail', 'pwnable'], 'challenge_rank': ['87', '41', '3', '13', '63', '97', '8', '53', '37', '33'], 'solve_time': ['2024-11-23T05:01:31.524Z', '2024-11-23T07:59:03.381Z', '2024-11-23T08:59:39.824Z', '2024-11-23T16:24:04.886Z', '2024-11-23T16:34:52.634Z', '2024-11-23T16:43:51.224Z', '2024-11-23T20:14:23.706Z', '2024-11-23T20:45:04.764Z', '2024-11-24T01:23:53.668Z', '2024-11-24T02:12:20.971Z']}",1335,InternationalDomestic
36,CubeMastery,"{'challenge_name': ['Welcome', 'packed', 'reiwa_rot13', 'Paragraph', 'Trillion Bank', 'Jump', '1linepyjail', 'pp4', 'BabyQEMU', 'Make ROP Great Again'], 'challenge_category': ['welcome', 'reversing', 'crypto', 'pwnable', 'web', 'reversing', 'jail', 'jail', 'pwnable', 'pwnable'], 'challenge_rank': ['47', '16', '34', '9', '26', '16', '8', '25', '34', '32'], 'solve_time': ['2024-11-23T05:01:03.076Z', '2024-11-23T06:14:30.992Z', '2024-11-23T06:31:35.057Z', '2024-11-23T07:52:52.268Z', '2024-11-23T09:03:16.982Z', '2024-11-23T10:15:27.249Z', '2024-11-23T18:31:25.419Z', '2024-11-23T19:50:10.705Z', '2024-11-24T02:38:07.381Z', '2024-11-24T03:37:00.535Z']}",1282,International
37,full_weak_engineer | Please subscribe! -> https://asusn.online,"{'challenge_name': ['Welcome', 'Trillion Bank', 'reiwa_rot13', 'Tanuki Udon', 'Jump', 'Paragraph', 'packed', 'pp4', 'dual_summon', 'double-parser'], 'challenge_category': ['welcome', 'web', 'crypto', 'web', 'reversing', 'pwnable', 'reversing', 'jail', 'crypto', 'web'], 'challenge_rank': ['33', '12', '63', '12', '24', '32', '74', '36', '63', '16'], 'solve_time': ['2024-11-23T05:00:53.464Z', '2024-11-23T07:41:04.607Z', '2024-11-23T08:35:35.749Z', '2024-11-23T12:16:14.698Z', '2024-11-23T12:29:54.134Z', '2024-11-23T13:27:18.307Z', '2024-11-23T14:35:54.848Z', '2024-11-24T01:09:27.029Z', '2024-11-24T04:10:42.927Z', '2024-11-24T04:47:07.783Z']}",1227,InternationalDomestic
38,d=(>o<)=b,"{'challenge_name': ['Welcome', 'Paragraph', 'pp4', 'free-free free', 'reiwa_rot13', 'Trillion Bank', 'dual_summon', 'packed', 'Jump', 'Make ROP Great Again'], 'challenge_category': ['welcome', 'pwnable', 'jail', 'pwnable', 'crypto', 'web', 'crypto', 'reversing', 'reversing', 'pwnable'], 'challenge_rank': ['96', '1', '4', '4', '75', '35', '39', '81', '38', '25'], 'solve_time': ['2024-11-23T05:01:35.873Z', '2024-11-23T05:49:16.274Z', '2024-11-23T06:35:53.735Z', '2024-11-23T09:42:38.11Z', '2024-11-23T10:08:16.901Z', '2024-11-23T10:41:42.073Z', '2024-11-23T12:01:18.638Z', '2024-11-23T16:20:54.926Z', '2024-11-23T16:53:09.688Z', '2024-11-23T21:30:49.167Z']}",1199,InternationalDomestic
39,FCCPC,"{'challenge_name': ['Welcome', 'packed', 'reiwa_rot13', 'Trillion Bank', 'Jump', 'Tanuki Udon', 'Paragraph', 'pp4', 'self-ssrf', 'dual_summon'], 'challenge_category': ['welcome', 'reversing', 'crypto', 'web', 'reversing', 'web', 'pwnable', 'jail', 'web', 'crypto'], 'challenge_rank': ['150', '23', '59', '18', '10', '8', '26', '17', '19', '61'], 'solve_time': ['2024-11-23T05:02:29.627Z', '2024-11-23T06:26:47.221Z', '2024-11-23T07:49:12.569Z', '2024-11-23T08:03:12.287Z', '2024-11-23T08:49:08.715Z', '2024-11-23T11:12:17.777Z', '2024-11-23T11:58:34.859Z', '2024-11-23T13:01:00.801Z', '2024-11-23T17:55:40.367Z', '2024-11-24T03:28:53.42Z']}",1199,InternationalDomestic
40,Impwnsible,"{'challenge_name': ['Welcome', 'BabyQEMU', 'reiwa_rot13', 'Make ROP Great Again', 'Paragraph', 'dual_summon', 'Jump', 'packed', 'Tanuki Udon'], 'challenge_category': ['welcome', 'pwnable', 'crypto', 'pwnable', 'pwnable', 'crypto', 'reversing', 'reversing', 'web'], 'challenge_rank': ['274', '4', '61', '4', '20', '34', '37', '92', '33'], 'solve_time': ['2024-11-23T05:30:09.201Z', '2024-11-23T07:36:10.849Z', '2024-11-23T08:23:22.948Z', '2024-11-23T08:58:23.895Z', '2024-11-23T10:09:41.148Z', '2024-11-23T11:12:42.525Z', '2024-11-23T16:16:38.737Z', '2024-11-23T17:41:24.299Z', '2024-11-23T21:16:56.591Z']}",1064,International
41,Defqunt,"{'challenge_name': ['Trillion Ether', 'Paragraph', 'reiwa_rot13', 'packed', 'Jump', 'Trillion Bank', 'pp4', 'Make ROP Great Again', 'Welcome'], 'challenge_category': ['blockchain', 'pwnable', 'crypto', 'reversing', 'reversing', 'web', 'jail', 'pwnable', 'welcome'], 'challenge_rank': ['2', '39', '94', '83', '41', '73', '32', '34', '634'], 'solve_time': ['2024-11-23T07:04:24.295Z', '2024-11-23T15:26:32.049Z', '2024-11-23T16:07:52.813Z', '2024-11-23T16:26:20.239Z', '2024-11-23T18:02:43.747Z', '2024-11-23T22:56:54.283Z', '2024-11-23T23:41:00.467Z', '2024-11-24T03:46:11.047Z', '2024-11-24T03:49:08.153Z']}",1049,International
42,hiikunZ,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'pp4', 'Paragraph', 'packed', 'Tanuki Udon', 'dual_summon', 'Jump', 'Trillion Bank'], 'challenge_category': ['welcome', 'crypto', 'jail', 'pwnable', 'reversing', 'web', 'crypto', 'reversing', 'web'], 'challenge_rank': ['10', '21', '5', '23', '62', '32', '60', '64', '84'], 'solve_time': ['2024-11-23T05:00:12.28Z', '2024-11-23T05:56:25.475Z', '2024-11-23T06:39:31.825Z', '2024-11-23T10:58:05.719Z', '2024-11-23T11:53:15.06Z', '2024-11-23T20:43:18.571Z', '2024-11-24T02:00:18.577Z', '2024-11-24T03:22:27.747Z', '2024-11-24T04:47:24.194Z']}",1006,InternationalDomestic
43,bi0s,"{'challenge_name': ['Welcome', 'packed', 'reiwa_rot13', 'Make ROP Great Again', 'BabyQEMU', 'Paragraph', 'Trillion Ether', 'dual_summon'], 'challenge_category': ['welcome', 'reversing', 'crypto', 'pwnable', 'pwnable', 'pwnable', 'blockchain', 'crypto'], 'challenge_rank': ['211', '34', '70', '14', '28', '56', '34', '62'], 'solve_time': ['2024-11-23T05:05:59.625Z', '2024-11-23T07:18:01.53Z', '2024-11-23T09:33:55.194Z', '2024-11-23T14:32:20.955Z', '2024-11-23T23:50:57.519Z', '2024-11-24T00:41:29.469Z', '2024-11-24T02:04:02.406Z', '2024-11-24T03:56:16.862Z']}",956,International
44,traP,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",903,InternationalDomestic
45,C4C,"{'challenge_name': ['Welcome', 'Paragraph', 'Trillion Bank', 'Make ROP Great Again', 'free-free free', 'packed', 'reiwa_rot13'], 'challenge_category': ['welcome', 'pwnable', 'web', 'pwnable', 'pwnable', 'reversing', 'crypto'], 'challenge_rank': ['57', '8', '38', '11', '11', '87', '124'], 'solve_time': ['2024-11-23T05:01:11.583Z', '2024-11-23T07:52:24.431Z', '2024-11-23T11:22:18.72Z', '2024-11-23T12:59:45.522Z', '2024-11-23T14:38:20.045Z', '2024-11-23T16:49:42.344Z', '2024-11-24T02:06:42.247Z']}",809,International
46,spookies,"{'challenge_name': ['Welcome', 'Paragraph', 'Trillion Bank', 'packed', 'Jump', 'Make ROP Great Again', 'pp4'], 'challenge_category': ['welcome', 'pwnable', 'web', 'reversing', 'reversing', 'pwnable', 'jail'], 'challenge_rank': ['51', '14', '39', '78', '42', '29', '40'], 'solve_time': ['2024-11-23T05:01:05.768Z', '2024-11-23T08:57:17.071Z', '2024-11-23T11:28:00.31Z', '2024-11-23T14:55:03.636Z', '2024-11-23T18:05:07.641Z', '2024-11-24T00:09:39.602Z', '2024-11-24T02:46:09.053Z']}",799,InternationalDomestic
47,B33F 50UP,"{'challenge_name': ['Welcome', 'packed', 'Paragraph', 'reiwa_rot13', 'Trillion Bank', 'Tanuki Udon', 'BabyQEMU'], 'challenge_category': ['welcome', 'reversing', 'pwnable', 'crypto', 'web', 'web', 'pwnable'], 'challenge_rank': ['20', '38', '29', '92', '60', '31', '29'], 'solve_time': ['2024-11-23T05:00:22.741Z', '2024-11-23T07:41:24.188Z', '2024-11-23T12:44:33.532Z', '2024-11-23T15:37:29.149Z', '2024-11-23T15:45:02.017Z', '2024-11-23T20:42:06.169Z', '2024-11-24T00:09:33.867Z']}",775,International
48,CSG,"{'challenge_name': ['Welcome', 'packed', '1linepyjail', 'reiwa_rot13', 'Trillion Ether', 'pp4'], 'challenge_category': ['welcome', 'reversing', 'jail', 'crypto', 'blockchain', 'jail'], 'challenge_rank': ['90', '96', '10', '118', '33', '38'], 'solve_time': ['2024-11-23T05:01:32.294Z', '2024-11-23T18:19:55.07Z', '2024-11-23T20:08:32.964Z', '2024-11-23T22:16:31.978Z', '2024-11-24T01:10:57.624Z', '2024-11-24T01:45:31.463Z']}",775,International
49,CyKor,"{'challenge_name': ['Welcome', 'packed', 'Paragraph', 'Jump', 'Trillion Ether', 'F is for Flag'], 'challenge_category': ['welcome', 'reversing', 'pwnable', 'reversing', 'blockchain', 'reversing'], 'challenge_rank': ['161', '10', '18', '32', '31', '15'], 'solve_time': ['2024-11-23T05:02:41.655Z', '2024-11-23T05:37:47.876Z', '2024-11-23T09:43:13.564Z', '2024-11-23T15:13:53.911Z', '2024-11-23T23:30:44.96Z', '2024-11-24T00:26:02.707Z']}",772,International
50,onA1aCarte,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'dual_summon', 'packed', 'pp4', 'Jump', 'Paragraph'], 'challenge_category': ['welcome', 'crypto', 'crypto', 'reversing', 'jail', 'reversing', 'pwnable'], 'challenge_rank': ['37', '9', '17', '59', '31', '55', '59'], 'solve_time': ['2024-11-23T05:00:55.946Z', '2024-11-23T05:24:36.348Z', '2024-11-23T07:50:25.148Z', '2024-11-23T10:39:27.789Z', '2024-11-23T22:22:01.733Z', '2024-11-23T23:16:52.663Z', '2024-11-24T03:20:48.351Z']}",749,InternationalDomestic
51,ThisIsAPen,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'dual_summon', 'Trillion Bank', 'Tidal wave', 'Trillion Ether'], 'challenge_category': ['welcome', 'crypto', 'crypto', 'web', 'crypto', 'blockchain'], 'challenge_rank': ['1', '13', '23', '36', '17', '35'], 'solve_time': ['2024-11-23T05:00:05.948Z', '2024-11-23T05:34:32.585Z', '2024-11-23T08:41:55.195Z', '2024-11-23T10:58:46.071Z', '2024-11-23T21:27:59.74Z', '2024-11-24T02:33:43.794Z']}",741,InternationalDomestic
52,Shellphish,"{'challenge_name': ['Welcome', 'Trillion Ether', 'Make ROP Great Again', 'packed', 'BabyQEMU', 'Jump'], 'challenge_category': ['welcome', 'blockchain', 'pwnable', 'reversing', 'pwnable', 'reversing'], 'challenge_rank': ['306', '13', '19', '89', '30', '69'], 'solve_time': ['2024-11-23T05:59:25.929Z', '2024-11-23T13:12:11.738Z', '2024-11-23T16:32:23.696Z', '2024-11-23T17:08:55.033Z', '2024-11-24T00:36:15.835Z', '2024-11-24T04:44:39.049Z']}",735,International
53,Pwn4s0n1c,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'dual_summon', 'Paragraph', 'BabyQEMU', 'free-free free'], 'challenge_category': ['welcome', 'crypto', 'crypto', 'pwnable', 'pwnable', 'pwnable'], 'challenge_rank': ['103', '32', '16', '10', '17', '16'], 'solve_time': ['2024-11-23T05:01:38.7Z', '2024-11-23T06:15:02.9Z', '2024-11-23T07:35:49.988Z', '2024-11-23T08:14:04.114Z', '2024-11-23T14:06:29.577Z', '2024-11-23T18:05:09.156Z']}",734,InternationalDomestic
54,S1uM4i,"{'challenge_name': ['Make ROP Great Again', 'BabyQEMU', 'qrackv', 'Jump', 'Welcome'], 'challenge_category': ['pwnable', 'pwnable', 'reversing', 'reversing', 'welcome'], 'challenge_rank': ['7', '26', '13', '66', '638'], 'solve_time': ['2024-11-23T10:08:28.436Z', '2024-11-23T19:58:18.226Z', '2024-11-24T03:23:05.503Z', '2024-11-24T03:23:34.34Z', '2024-11-24T04:23:46.243Z']}",731,International
55,State-of-the-art,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",701,International
56,ECS.em0t3t,"{'challenge_name': ['Welcome', 'packed', 'reiwa_rot13', 'dual_summon', 'Trillion Bank', 'Tidal wave'], 'challenge_category': ['welcome', 'reversing', 'crypto', 'crypto', 'web', 'crypto'], 'challenge_rank': ['175', '19', '44', '27', '52', '18'], 'solve_time': ['2024-11-23T05:03:25.036Z', '2024-11-23T06:19:18.023Z', '2024-11-23T06:54:10.95Z', '2024-11-23T09:25:07.501Z', '2024-11-23T13:14:57.696Z', '2024-11-23T22:11:30.08Z']}",675,International
57,tatemono club,"{'challenge_name': ['Welcome', 'Paragraph', 'Trillion Bank', 'free-free free', 'reiwa_rot13', 'packed'], 'challenge_category': ['welcome', 'pwnable', 'web', 'pwnable', 'crypto', 'reversing'], 'challenge_rank': ['88', '7', '22', '15', '112', '116'], 'solve_time': ['2024-11-23T05:01:31.816Z', '2024-11-23T07:50:16.059Z', '2024-11-23T08:19:14.143Z', '2024-11-23T18:01:51.906Z', '2024-11-23T19:54:27.209Z', '2024-11-24T01:10:48.212Z']}",653,InternationalDomestic
58,katsudon14,"{'challenge_name': ['Welcome', 'Trillion Bank', 'reiwa_rot13', 'packed', 'free-free free', 'Paragraph'], 'challenge_category': ['welcome', 'web', 'crypto', 'reversing', 'pwnable', 'pwnable'], 'challenge_rank': ['383', '33', '86', '85', '24', '61'], 'solve_time': ['2024-11-23T07:53:17.558Z', '2024-11-23T10:32:36.301Z', '2024-11-23T14:57:42.345Z', '2024-11-23T16:34:11.418Z', '2024-11-24T03:07:05.665Z', '2024-11-24T04:28:51.048Z']}",653,InternationalDomestic
59,de_dust2,"{'challenge_name': ['Trillion Ether', 'OSAKA'], 'challenge_category': ['blockchain', 'blockchain'], 'challenge_rank': ['19', '1'], 'solve_time': ['2024-11-23T18:22:51.22Z', '2024-11-23T19:49:59.356Z']}",629,International
60,Iku-toppene,"{'challenge_name': ['Welcome', 'packed', 'Jump', 'Trillion Bank', 'dual_summon', 'Paragraph'], 'challenge_category': ['welcome', 'reversing', 'reversing', 'web', 'crypto', 'pwnable'], 'challenge_rank': ['63', '22', '7', '61', '46', '53'], 'solve_time': ['2024-11-23T05:01:17.584Z', '2024-11-23T06:24:32.696Z', '2024-11-23T07:21:24.558Z', '2024-11-23T15:53:35.167Z', '2024-11-23T17:43:23.281Z', '2024-11-23T23:09:26.034Z']}",617,International
61,Team JM,"{'challenge_name': ['Welcome', 'packed', 'Jump', 'reiwa_rot13', 'Trillion Bank', 'Make ROP Great Again'], 'challenge_category': ['welcome', 'reversing', 'reversing', 'crypto', 'web', 'pwnable'], 'challenge_rank': ['50', '18', '18', '85', '80', '33'], 'solve_time': ['2024-11-23T05:01:05.459Z', '2024-11-23T06:16:33.326Z', '2024-11-23T10:35:25.903Z', '2024-11-23T14:49:47.649Z', '2024-11-24T02:41:13.493Z', '2024-11-24T03:37:17.473Z']}",616,InternationalDomestic
62,Wani Hackase,"{'challenge_name': ['Welcome', 'packed', 'reiwa_rot13', 'Trillion Bank', 'dual_summon', 'Tanuki Udon'], 'challenge_category': ['welcome', 'reversing', 'crypto', 'web', 'crypto', 'web'], 'challenge_rank': ['73', '12', '37', '16', '32', '23'], 'solve_time': ['2024-11-23T05:01:20.441Z', '2024-11-23T05:44:24.877Z', '2024-11-23T06:42:28.932Z', '2024-11-23T07:58:25.728Z', '2024-11-23T10:25:26.111Z', '2024-11-23T16:03:15.093Z']}",614,InternationalDomestic
63,enoki,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'packed', 'Trillion Bank', 'dual_summon', 'pp4'], 'challenge_category': ['welcome', 'crypto', 'reversing', 'web', 'crypto', 'jail'], 'challenge_rank': ['42', '23', '24', '27', '29', '30'], 'solve_time': ['2024-11-23T05:01:00.237Z', '2024-11-23T05:58:48.082Z', '2024-11-23T06:35:42.109Z', '2024-11-23T09:13:22.645Z', '2024-11-23T09:47:07.404Z', '2024-11-23T20:54:06.739Z']}",614,InternationalDomestic
64,b01lers,"{'challenge_name': ['Welcome', 'Trillion Bank', 'pp4', 'dual_summon', 'reiwa_rot13', 'packed'], 'challenge_category': ['welcome', 'web', 'jail', 'crypto', 'crypto', 'reversing'], 'challenge_rank': ['257', '14', '6', '50', '114', '114'], 'solve_time': ['2024-11-23T05:18:13.16Z', '2024-11-23T07:54:23.68Z', '2024-11-23T08:41:22.099Z', '2024-11-23T19:49:12.303Z', '2024-11-23T20:11:20.848Z', '2024-11-23T23:18:34.324Z']}",614,International
65,noraneco,"{'challenge_name': ['Welcome', 'packed', 'reiwa_rot13', 'Jump', 'Paragraph', 'Trillion Bank'], 'challenge_category': ['welcome', 'reversing', 'crypto', 'reversing', 'pwnable', 'web'], 'challenge_rank': ['9', '26', '52', '35', '51', '81'], 'solve_time': ['2024-11-23T05:00:10.543Z', '2024-11-23T06:39:59.579Z', '2024-11-23T07:14:49.332Z', '2024-11-23T15:53:20.295Z', '2024-11-23T21:34:21.932Z', '2024-11-24T03:08:41.054Z']}",585,InternationalDomestic
66,AIR3,"{'challenge_name': ['Welcome', 'Trillion Bank', 'Tanuki Udon', 'double-parser'], 'challenge_category': ['welcome', 'web', 'web', 'web'], 'challenge_rank': ['136', '58', '24', '17'], 'solve_time': ['2024-11-23T05:02:08.311Z', '2024-11-23T15:18:11.354Z', '2024-11-23T16:24:03.205Z', '2024-11-24T04:56:18.245Z']}",528,InternationalDomestic
67,Cyber Dark Inferno,"{'challenge_name': [], 'challenge_category': [], 'challenge_rank': [], 'solve_time': []}",518,InternationalDomestic
68,RubiyaLab,"{'challenge_name': ['Welcome', 'reiwa_rot13', 'dual_summon', 'packed', 'Trillion Ether'], 'challenge_category': ['welcome', 'crypto', 'crypto', 'reversing', 'blockchain'], 'challenge_rank': ['82', '48', '37', '63', '20'], 'solve_time': ['2024-11-23T05:01:27.403Z', '2024-11-23T07:05:55.341Z', '2024-11-23T11:54:39.621Z', '2024-11-23T12:18:39.58Z', '2024-11-23T18:41:07.789Z']}",516,International
