name,score,challenges
VN_MSEC,1337,"{'challenge_name': ['Too Hidden', 'Reverb', 'To the sky', 'Secure Shell', 'Buffer Brawl', 'Simpler RSA', 'WhiteRabbit', 'Sanity Check'], 'challenge_category': ['Forensics', 'Pwn', 'OSINT', 'Beginners', 'Pwn', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '316', '398', '50', '228', '50', '95', '50'], 'solve_time': ['December 1st, 3:30:38 PM', 'December 1st, 1:53:30 PM', 'December 1st, 1:39:22 PM', 'December 1st, 5:35:43 AM', 'November 30th, 10:01:14 PM', 'November 30th, 9:22:28 PM', 'November 30th, 9:18:05 PM', 'November 30th, 5:37:50 PM']}"
arnapawa,1313,"{'challenge_name': ['Too Hidden', 'All your base are belong to us', 'Secure Shell', 'Reverb', 'Buffer Brawl', 'Simpler RSA', 'Sanity Check', 'Flag Checker'], 'challenge_category': ['Forensics', 'Beginners', 'Beginners', 'Pwn', 'Pwn', 'Beginners', 'Miscellaneous', 'Reverse Engineering'], 'challenge_points': ['150', '65', '50', '316', '228', '50', '50', '404'], 'solve_time': ['December 1st, 3:35:35 PM', 'December 1st, 3:35:12 PM', 'December 1st, 3:35:00 PM', 'December 1st, 3:34:18 PM', 'December 1st, 3:33:53 PM', 'December 1st, 9:40:21 AM', 'December 1st, 9:35:57 AM', 'December 1st, 7:18:19 AM']}"
Caliphal Hounds,1232,"{'challenge_name': ['Just Lattice', 'Bongcloud', 'epsilonDH', 'Too Hidden', 'World Wide Flags', 'Secure Shell', 'All your base are belong to us', 'Sanity Check', 'Simpler RSA'], 'challenge_category': ['Cryptography', 'Miscellaneous', 'Cryptography', 'Forensics', 'Miscellaneous', 'Beginners', 'Beginners', 'Miscellaneous', 'Beginners'], 'challenge_points': ['351', '153', '213', '150', '150', '50', '65', '50', '50'], 'solve_time': ['December 1st, 5:12:13 PM', 'December 1st, 4:29:49 PM', 'December 1st, 4:07:56 PM', 'December 1st, 3:33:29 PM', 'December 1st, 6:01:22 AM', 'December 1st, 12:31:07 AM', 'November 30th, 6:13:26 PM', 'November 30th, 5:39:17 PM', 'November 30th, 5:38:33 PM']}"
t3Kn01sn0td3ad,1204,"{'challenge_name': ['Too Hidden', 'Guessy CTF Solver', 'Buffer Brawl', 'Bongcloud', 'Secure Shell', 'WhiteRabbit', 'All your base are belong to us', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'Web Exploitation', 'Pwn', 'Miscellaneous', 'Beginners', 'Beginners', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '363', '228', '153', '50', '95', '65', '50', '50'], 'solve_time': ['December 1st, 7:31:07 AM', 'December 1st, 7:07:06 AM', 'December 1st, 4:49:11 AM', 'November 30th, 11:08:31 PM', 'November 30th, 10:24:52 PM', 'November 30th, 10:06:52 PM', 'November 30th, 5:58:28 PM', 'November 30th, 5:45:39 PM', 'November 30th, 5:37:41 PM']}"
peko,1185,"{'challenge_name': ['Just Lattice', 'Twister', 'Modnar'], 'challenge_category': ['Cryptography', 'Cryptography', 'Cryptography'], 'challenge_points': ['351', '398', '436'], 'solve_time': ['November 30th, 9:47:07 PM', 'November 30th, 9:38:16 PM', 'November 30th, 9:22:59 PM']}"
souf6x,1180,"{'challenge_name': ['Memorial', 'Identity', 'Bulletproof'], 'challenge_category': ['OSINT', 'OSINT', 'OSINT'], 'challenge_points': ['497', '476', '207'], 'solve_time': ['December 1st, 3:13:08 AM', 'December 1st, 2:33:04 AM', 'December 1st, 1:58:49 AM']}"
TAS.DihydroMonoxide,1167,"{'challenge_name': ['Secure Shell', ""Remind's Funny Stories 3"", 'Flag Checker', 'Simpler RSA', 'Forgot Password', 'Sanity Check'], 'challenge_category': ['Beginners', 'Reverse Engineering', 'Reverse Engineering', 'Beginners', 'Forensics', 'Miscellaneous'], 'challenge_points': ['50', '450', '404', '50', '163', '50'], 'solve_time': ['December 1st, 3:11:10 PM', 'December 1st, 12:46:35 PM', 'November 30th, 11:44:18 PM', 'November 30th, 8:00:10 PM', 'November 30th, 6:03:49 PM', 'November 30th, 5:45:06 PM']}"
EvilBunnyWrote,1103,"{'challenge_name': ['Simpler RSA', 'Rust Containment', 'Too Hidden', 'Forgot Password', 'epsilonDH', 'Sanity Check', 'Bongcloud', 'Secure Shell'], 'challenge_category': ['Beginners', 'Beginners', 'Forensics', 'Forensics', 'Cryptography', 'Miscellaneous', 'Miscellaneous', 'Beginners'], 'challenge_points': ['50', '274', '150', '163', '213', '50', '153', '50'], 'solve_time': ['December 1st, 3:13:54 AM', 'December 1st, 3:11:08 AM', 'December 1st, 2:04:38 AM', 'December 1st, 1:47:35 AM', 'December 1st, 12:20:04 AM', 'November 30th, 11:54:33 PM', 'November 30th, 11:52:48 PM', 'November 30th, 8:52:59 PM']}"
tw0n3-bytes,1095,"{'challenge_name': ['Forgot Password', 'Too Hidden', 'Flag Checker', 'Secure Shell', 'Simpler RSA', 'Buffer Brawl', 'Sanity Check'], 'challenge_category': ['Forensics', 'Forensics', 'Reverse Engineering', 'Beginners', 'Beginners', 'Pwn', 'Miscellaneous'], 'challenge_points': ['163', '150', '404', '50', '50', '228', '50'], 'solve_time': ['December 1st, 3:45:12 PM', 'December 1st, 1:01:23 PM', 'December 1st, 12:21:01 PM', 'November 30th, 9:38:24 PM', 'November 30th, 7:00:31 PM', 'November 30th, 6:04:58 PM', 'November 30th, 5:40:27 PM']}"
Technipwn,1092,"{'challenge_name': ['WhiteRabbit', 'Secure Shell', 'Reverb', 'World Wide Flags', 'Bongcloud', 'Simpler RSA', 'Buffer Brawl', 'Sanity Check'], 'challenge_category': ['Beginners', 'Beginners', 'Pwn', 'Miscellaneous', 'Miscellaneous', 'Beginners', 'Pwn', 'Miscellaneous'], 'challenge_points': ['95', '50', '316', '150', '153', '50', '228', '50'], 'solve_time': ['December 1st, 5:50:25 AM', 'December 1st, 1:27:51 AM', 'December 1st, 12:06:14 AM', 'November 30th, 10:05:19 PM', 'November 30th, 8:56:20 PM', 'November 30th, 6:28:25 PM', 'November 30th, 6:23:02 PM', 'November 30th, 5:38:17 PM']}"
TeamC8,1087,"{'challenge_name': ['Buffer Brawl', 'Simpler RSA', 'WhiteRabbit', 'Too Hidden', 'Just Lattice', 'epsilonDH'], 'challenge_category': ['Pwn', 'Beginners', 'Beginners', 'Forensics', 'Cryptography', 'Cryptography'], 'challenge_points': ['228', '50', '95', '150', '351', '213'], 'solve_time': ['December 1st, 2:36:30 PM', 'December 1st, 1:32:07 PM', 'December 1st, 10:55:00 AM', 'December 1st, 10:14:12 AM', 'December 1st, 7:21:59 AM', 'December 1st, 4:43:24 AM']}"
f4n_n3r0,1078,"{'challenge_name': ['World Wide Flags', 'Sanity Check', 'Forgot Password', 'Too Hidden', 'Ransom Waifu', 'All your base are belong to us', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Forensics', 'Forensics', 'Reverse Engineering', 'Beginners', 'Beginners'], 'challenge_points': ['150', '50', '163', '150', '450', '65', '50'], 'solve_time': ['December 1st, 2:48:25 AM', 'November 30th, 11:37:32 PM', 'November 30th, 10:46:42 PM', 'November 30th, 10:33:40 PM', 'November 30th, 9:30:45 PM', 'November 30th, 5:41:25 PM', 'November 30th, 5:40:04 PM']}"
Wade,1058,"{'challenge_name': ['Simpler RSA', 'CTF Registration', 'Buffer Brawl', 'Reverb'], 'challenge_category': ['Beginners', 'Pwn', 'Pwn', 'Pwn'], 'challenge_points': ['50', '464', '228', '316'], 'solve_time': ['December 1st, 5:26:59 PM', 'December 1st, 5:09:59 PM', 'December 1st, 12:47:27 PM', 'December 1st, 9:41:33 AM']}"
setters,1047,"{'challenge_name': ['Twister', 'Modnar', 'epsilonDH'], 'challenge_category': ['Cryptography', 'Cryptography', 'Cryptography'], 'challenge_points': ['398', '436', '213'], 'solve_time': ['December 1st, 11:08:33 AM', 'December 1st, 1:43:26 AM', 'November 30th, 9:29:30 PM']}"
TPC,1047,"{'challenge_name': ['Twister', 'Modnar', 'epsilonDH'], 'challenge_category': ['Cryptography', 'Cryptography', 'Cryptography'], 'challenge_points': ['398', '436', '213'], 'solve_time': ['December 1st, 12:24:15 PM', 'December 1st, 11:50:09 AM', 'December 1st, 10:12:23 AM']}"
SSM,1044,"{'challenge_name': ['Too Hidden', 'Secure Shell', 'World Wide Flags', 'epsilonDH', 'Bongcloud', 'All your base are belong to us', 'Forgot Password', 'Sanity Check', 'Simpler RSA'], 'challenge_category': ['Forensics', 'Beginners', 'Miscellaneous', 'Cryptography', 'Miscellaneous', 'Beginners', 'Forensics', 'Miscellaneous', 'Beginners'], 'challenge_points': ['150', '50', '150', '213', '153', '65', '163', '50', '50'], 'solve_time': ['December 1st, 1:22:30 PM', 'December 1st, 12:31:14 PM', 'December 1st, 11:31:57 AM', 'December 1st, 9:31:46 AM', 'November 30th, 9:09:58 PM', 'November 30th, 7:58:59 PM', 'November 30th, 6:09:40 PM', 'November 30th, 6:06:51 PM', 'November 30th, 5:34:53 PM']}"
UVT-CTF,1038,"{'challenge_name': ['World Wide Flags', 'Too Hidden', 'All your base are belong to us', 'Bulletproof', 'Secure Shell', 'Bongcloud', 'Forgot Password', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Miscellaneous', 'Forensics', 'Beginners', 'OSINT', 'Beginners', 'Miscellaneous', 'Forensics', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '150', '65', '207', '50', '153', '163', '50', '50'], 'solve_time': ['December 1st, 6:06:58 AM', 'December 1st, 4:36:46 AM', 'December 1st, 2:53:59 AM', 'December 1st, 1:40:29 AM', 'November 30th, 11:46:49 PM', 'November 30th, 9:36:50 PM', 'November 30th, 8:30:43 PM', 'November 30th, 6:01:13 PM', 'November 30th, 5:48:18 PM']}"
Sudo Make Me a Sandwich,1008,"{'challenge_name': ['Too Hidden', 'To the sky', 'WhiteRabbit', 'Secure Shell', 'World Wide Flags', 'Simpler RSA', 'All your base are belong to us', 'Sanity Check'], 'challenge_category': ['Forensics', 'OSINT', 'Beginners', 'Beginners', 'Miscellaneous', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '398', '95', '50', '150', '50', '65', '50'], 'solve_time': ['November 30th, 10:28:45 PM', 'November 30th, 9:58:50 PM', 'November 30th, 9:49:58 PM', 'November 30th, 8:04:59 PM', 'November 30th, 7:32:21 PM', 'November 30th, 5:42:16 PM', 'November 30th, 5:34:38 PM', 'November 30th, 5:32:38 PM']}"
PRKV,997,"{'challenge_name': ['Buffer Brawl', 'Simpler RSA', 'Bongcloud', 'World Wide Flags', 'Secure Shell', 'Sanity Check', 'Reverb'], 'challenge_category': ['Pwn', 'Beginners', 'Miscellaneous', 'Miscellaneous', 'Beginners', 'Miscellaneous', 'Pwn'], 'challenge_points': ['228', '50', '153', '150', '50', '50', '316'], 'solve_time': ['December 1st, 4:07:24 AM', 'December 1st, 3:11:07 AM', 'November 30th, 10:37:28 PM', 'November 30th, 10:19:21 PM', 'November 30th, 9:18:56 PM', 'November 30th, 9:03:33 PM', 'November 30th, 9:01:18 PM']}"
1nf1n1ty,979,"{'challenge_name': ['Too Hidden', 'Bongcloud', 'Secure Shell', 'Forgot Password', 'Guessy CTF Solver', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'Miscellaneous', 'Beginners', 'Forensics', 'Web Exploitation', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '153', '50', '163', '363', '50', '50'], 'solve_time': ['December 1st, 3:08:39 PM', 'December 1st, 2:05:48 PM', 'December 1st, 1:27:38 PM', 'December 1st, 1:21:22 PM', 'December 1st, 10:23:11 AM', 'November 30th, 6:22:26 PM', 'November 30th, 5:51:42 PM']}"
Nightcrawler,970,"{'challenge_name': ['To the sky', 'Bulletproof', 'Secure Shell', 'World Wide Flags', 'Sanity Check', 'All your base are belong to us', 'Simpler RSA'], 'challenge_category': ['OSINT', 'OSINT', 'Beginners', 'Miscellaneous', 'Miscellaneous', 'Beginners', 'Beginners'], 'challenge_points': ['398', '207', '50', '150', '50', '65', '50'], 'solve_time': ['December 1st, 12:14:20 PM', 'December 1st, 10:10:59 AM', 'December 1st, 1:52:04 AM', 'November 30th, 9:38:52 PM', 'November 30th, 6:40:11 PM', 'November 30th, 6:07:25 PM', 'November 30th, 5:49:39 PM']}"
Davidpb,965,"{'challenge_name': ['Too Hidden', 'World Wide Flags', 'Sanity Check', 'Simpler RSA', 'Secure Shell', 'Ransom Waifu', 'All your base are belong to us'], 'challenge_category': ['Forensics', 'Miscellaneous', 'Miscellaneous', 'Beginners', 'Beginners', 'Reverse Engineering', 'Beginners'], 'challenge_points': ['150', '150', '50', '50', '50', '450', '65'], 'solve_time': ['December 1st, 3:18:43 AM', 'December 1st, 2:42:09 AM', 'December 1st, 1:50:39 AM', 'November 30th, 9:54:26 PM', 'November 30th, 9:53:40 PM', 'November 30th, 9:21:33 PM', 'November 30th, 5:34:01 PM']}"
Maple Bacon,956,"{'challenge_name': ['World Wide Flags', 'Buffer Brawl', 'Sanity Check', 'epsilonDH', 'All your base are belong to us', 'Secure Shell', 'Simpler RSA', 'Too Hidden'], 'challenge_category': ['Miscellaneous', 'Pwn', 'Miscellaneous', 'Cryptography', 'Beginners', 'Beginners', 'Beginners', 'Forensics'], 'challenge_points': ['150', '228', '50', '213', '65', '50', '50', '150'], 'solve_time': ['December 1st, 1:42:13 PM', 'December 1st, 11:30:20 AM', 'December 1st, 7:29:22 AM', 'December 1st, 6:51:13 AM', 'December 1st, 5:50:32 AM', 'December 1st, 5:43:29 AM', 'December 1st, 5:37:48 AM', 'December 1st, 1:26:01 AM']}"
oo,939,"{'challenge_name': ['Secure Shell', 'Too Hidden', 'Reverb', 'Buffer Brawl', 'WhiteRabbit', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Beginners', 'Forensics', 'Pwn', 'Pwn', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['50', '150', '316', '228', '95', '50', '50'], 'solve_time': ['December 1st, 3:49:07 PM', 'December 1st, 12:39:46 PM', 'November 30th, 11:11:15 PM', 'November 30th, 8:25:50 PM', 'November 30th, 7:17:23 PM', 'November 30th, 7:00:23 PM', 'November 30th, 6:05:42 PM']}"
ITMOteam,924,"{'challenge_name': ['Sanity Check', 'Safe Unsafe', 'Simpler RSA', 'Rust Containment', 'Secure Shell'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Beginners', 'Beginners', 'Beginners'], 'challenge_points': ['50', '500', '50', '274', '50'], 'solve_time': ['December 1st, 12:05:51 AM', 'November 30th, 11:22:12 PM', 'November 30th, 11:13:26 PM', 'November 30th, 9:26:29 PM', 'November 30th, 8:37:11 PM']}"
CaveiraGamingHD,921,"{'challenge_name': ['Just Lattice', 'Sanity Check', 'Bulletproof', 'epsilonDH', 'Secure Shell', 'Simpler RSA'], 'challenge_category': ['Cryptography', 'Miscellaneous', 'OSINT', 'Cryptography', 'Beginners', 'Beginners'], 'challenge_points': ['351', '50', '207', '213', '50', '50'], 'solve_time': ['December 1st, 5:24:20 AM', 'December 1st, 4:47:19 AM', 'November 30th, 11:53:12 PM', 'November 30th, 11:27:47 PM', 'November 30th, 10:55:26 PM', 'November 30th, 7:34:12 PM']}"
Pseudo Coders,905,"{'challenge_name': ['World Wide Flags', 'To the sky', 'Secure Shell', 'Bulletproof', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Miscellaneous', 'OSINT', 'Beginners', 'OSINT', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '398', '50', '207', '50', '50'], 'solve_time': ['December 1st, 5:27:11 PM', 'December 1st, 1:16:22 AM', 'December 1st, 1:07:15 AM', 'November 30th, 10:27:42 PM', 'November 30th, 8:16:15 PM', 'November 30th, 7:08:58 PM']}"
cyb3rsp4ce,894,"{'challenge_name': ['All your base are belong to us', 'epsilonDH', 'Forgot Password', 'Too Hidden', 'Bongcloud', 'Sanity Check', 'Secure Shell', 'Simpler RSA'], 'challenge_category': ['Beginners', 'Cryptography', 'Forensics', 'Forensics', 'Miscellaneous', 'Miscellaneous', 'Beginners', 'Beginners'], 'challenge_points': ['65', '213', '163', '150', '153', '50', '50', '50'], 'solve_time': ['December 1st, 3:15:08 PM', 'December 1st, 2:20:40 PM', 'December 1st, 11:19:44 AM', 'December 1st, 7:41:21 AM', 'December 1st, 7:36:12 AM', 'December 1st, 7:20:57 AM', 'December 1st, 4:15:23 AM', 'December 1st, 4:06:38 AM']}"
PwnProphecy,888,"{'challenge_name': ['Buffer Brawl', 'Bulletproof', 'Bongcloud', 'World Wide Flags', 'Secure Shell', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Pwn', 'OSINT', 'Miscellaneous', 'Miscellaneous', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['228', '207', '153', '150', '50', '50', '50'], 'solve_time': ['December 1st, 1:18:07 AM', 'November 30th, 11:30:34 PM', 'November 30th, 11:28:01 PM', 'November 30th, 11:07:26 PM', 'November 30th, 10:01:25 PM', 'November 30th, 5:54:11 PM', 'November 30th, 5:49:20 PM']}"
kossiitkgp,870,"{'challenge_name': ['Too Hidden', 'Bulletproof', 'Guessy CTF Solver', 'Secure Shell', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'OSINT', 'Web Exploitation', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '207', '363', '50', '50', '50'], 'solve_time': ['December 1st, 12:28:56 PM', 'December 1st, 10:34:00 AM', 'December 1st, 2:56:11 AM', 'November 30th, 8:50:44 PM', 'November 30th, 7:32:43 PM', 'November 30th, 5:54:29 PM']}"
.hidden,842,"{'challenge_name': ['WhiteRabbit', 'Buffer Brawl', 'Sanity Check', 'Bongcloud', 'Reverb'], 'challenge_category': ['Beginners', 'Pwn', 'Miscellaneous', 'Miscellaneous', 'Pwn'], 'challenge_points': ['95', '228', '50', '153', '316'], 'solve_time': ['December 1st, 2:24:25 PM', 'December 1st, 7:48:36 AM', 'December 1st, 7:47:23 AM', 'December 1st, 5:29:47 AM', 'December 1st, 1:58:29 AM']}"
ScriptSorcerers,841,"{'challenge_name': ['WhiteRabbit', 'All your base are belong to us', 'Secure Shell', 'Buffer Brawl', 'World Wide Flags', 'Bongcloud', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Beginners', 'Beginners', 'Beginners', 'Pwn', 'Miscellaneous', 'Miscellaneous', 'Beginners', 'Miscellaneous'], 'challenge_points': ['95', '65', '50', '228', '150', '153', '50', '50'], 'solve_time': ['December 1st, 1:25:00 AM', 'November 30th, 11:12:08 PM', 'November 30th, 10:25:03 PM', 'November 30th, 10:12:52 PM', 'November 30th, 9:33:57 PM', 'November 30th, 7:56:40 PM', 'November 30th, 7:14:49 PM', 'November 30th, 6:24:03 PM']}"
Night Sentinels,835,"{'challenge_name': ['Simpler RSA', 'Bulletproof', 'Too Hidden', 'Forgot Password', 'World Wide Flags', 'All your base are belong to us', 'Sanity Check'], 'challenge_category': ['Beginners', 'OSINT', 'Forensics', 'Forensics', 'Miscellaneous', 'Beginners', 'Miscellaneous'], 'challenge_points': ['50', '207', '150', '163', '150', '65', '50'], 'solve_time': ['December 1st, 3:22:17 PM', 'December 1st, 1:18:30 AM', 'December 1st, 1:18:18 AM', 'December 1st, 1:17:56 AM', 'November 30th, 8:26:53 PM', 'November 30th, 5:54:27 PM', 'November 30th, 5:34:03 PM']}"
0-Day Aarhus,832,"{'challenge_name': ['Bongcloud', 'Mutual TLS', 'Secure Shell', 'All your base are belong to us', 'Sanity Check', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Miscellaneous', 'Beginners', 'Beginners', 'Miscellaneous', 'Beginners'], 'challenge_points': ['153', '464', '50', '65', '50', '50'], 'solve_time': ['November 30th, 10:59:11 PM', 'November 30th, 9:57:40 PM', 'November 30th, 8:28:30 PM', 'November 30th, 7:42:04 PM', 'November 30th, 7:33:21 PM', 'November 30th, 6:29:14 PM']}"
upbhack,831,"{'challenge_name': ['Secure Shell', 'All your base are belong to us', 'Simpler RSA', 'Too Hidden', 'World Wide Flags', 'Bongcloud', 'Sanity Check', 'Forgot Password'], 'challenge_category': ['Beginners', 'Beginners', 'Beginners', 'Forensics', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Forensics'], 'challenge_points': ['50', '65', '50', '150', '150', '153', '50', '163'], 'solve_time': ['December 1st, 1:31:17 AM', 'December 1st, 12:56:34 AM', 'November 30th, 10:54:49 PM', 'November 30th, 10:47:33 PM', 'November 30th, 10:01:10 PM', 'November 30th, 9:36:11 PM', 'November 30th, 8:26:37 PM', 'November 30th, 8:12:01 PM']}"
BankarKodFörGifflar,831,"{'challenge_name': ['World Wide Flags', 'Too Hidden', 'Buffer Brawl', 'Bongcloud', 'Secure Shell', 'Sanity Check', 'Simpler RSA'], 'challenge_category': ['Miscellaneous', 'Forensics', 'Pwn', 'Miscellaneous', 'Beginners', 'Miscellaneous', 'Beginners'], 'challenge_points': ['150', '150', '228', '153', '50', '50', '50'], 'solve_time': ['December 1st, 5:45:26 AM', 'December 1st, 4:45:31 AM', 'December 1st, 12:12:48 AM', 'November 30th, 11:17:25 PM', 'November 30th, 9:54:39 PM', 'November 30th, 8:53:06 PM', 'November 30th, 6:05:17 PM']}"
cipher22,810,"{'challenge_name': ['Too Hidden', 'Bulletproof', 'World Wide Flags', 'Secure Shell', 'Bongcloud', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'OSINT', 'Miscellaneous', 'Beginners', 'Miscellaneous', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '207', '150', '50', '153', '50', '50'], 'solve_time': ['December 1st, 3:14:16 AM', 'November 30th, 11:50:30 PM', 'November 30th, 10:53:41 PM', 'November 30th, 8:51:47 PM', 'November 30th, 8:44:33 PM', 'November 30th, 7:08:00 PM', 'November 30th, 5:40:05 PM']}"
Dombusters,810,"{'challenge_name': ['Too Hidden', 'Secure Shell', 'World Wide Flags', 'Bongcloud', 'Bulletproof', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'Beginners', 'Miscellaneous', 'Miscellaneous', 'OSINT', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '50', '150', '153', '207', '50', '50'], 'solve_time': ['December 1st, 11:07:55 AM', 'December 1st, 12:23:23 AM', 'December 1st, 12:05:21 AM', 'November 30th, 10:37:13 PM', 'November 30th, 10:03:50 PM', 'November 30th, 5:40:54 PM', 'November 30th, 5:36:09 PM']}"
add,799,"{'challenge_name': ['Too Hidden', 'Black Meet Wukong', 'Forgot Password', 'Simpler RSA'], 'challenge_category': ['Forensics', 'Forensics', 'Forensics', 'Beginners'], 'challenge_points': ['150', '436', '163', '50'], 'solve_time': ['November 30th, 11:24:29 PM', 'November 30th, 10:22:29 PM', 'November 30th, 7:22:35 PM', 'November 30th, 6:57:37 PM']}"
M1tM,791,"{'challenge_name': ['Identity', 'World Wide Flags', 'All your base are belong to us', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['OSINT', 'Miscellaneous', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['476', '150', '65', '50', '50'], 'solve_time': ['December 1st, 4:29:35 PM', 'December 1st, 11:59:41 AM', 'December 1st, 11:16:27 AM', 'November 30th, 6:20:50 PM', 'November 30th, 5:47:31 PM']}"
VxPx,785,"{'challenge_name': ['All your base are belong to us', 'epsilonDH', 'Bulletproof', 'Too Hidden', 'Simpler RSA', 'Secure Shell', 'Sanity Check'], 'challenge_category': ['Beginners', 'Cryptography', 'OSINT', 'Forensics', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['65', '213', '207', '150', '50', '50', '50'], 'solve_time': ['December 1st, 6:08:16 AM', 'December 1st, 5:40:46 AM', 'December 1st, 5:06:34 AM', 'November 30th, 10:48:55 PM', 'November 30th, 10:44:54 PM', 'November 30th, 10:16:24 PM', 'November 30th, 5:39:50 PM']}"
sTwoTut,780,"{'challenge_name': ['World Wide Email Search', 'Too Hidden', 'World Wide Flags'], 'challenge_category': ['Web Exploitation', 'Forensics', 'Miscellaneous'], 'challenge_points': ['480', '150', '150'], 'solve_time': ['December 1st, 4:35:53 AM', 'November 30th, 10:29:10 PM', 'November 30th, 7:52:11 PM']}"
t1st,773,"{'challenge_name': ['Too Hidden', 'Sanity Check', 'Buffer Brawl', 'WhiteRabbit', 'Secure Shell', 'Simpler RSA', 'World Wide Flags'], 'challenge_category': ['Forensics', 'Miscellaneous', 'Pwn', 'Beginners', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '50', '228', '95', '50', '50', '150'], 'solve_time': ['December 1st, 12:07:08 AM', 'November 30th, 11:52:34 PM', 'November 30th, 10:02:41 PM', 'November 30th, 9:28:57 PM', 'November 30th, 9:17:54 PM', 'November 30th, 8:58:02 PM', 'November 30th, 8:32:05 PM']}"
HCST,759,"{'challenge_name': ['Just Lattice', 'Secure Shell', 'epsilonDH', 'WhiteRabbit', 'Simpler RSA'], 'challenge_category': ['Cryptography', 'Beginners', 'Cryptography', 'Beginners', 'Beginners'], 'challenge_points': ['351', '50', '213', '95', '50'], 'solve_time': ['December 1st, 4:54:28 AM', 'December 1st, 3:16:02 AM', 'December 1st, 3:10:35 AM', 'November 30th, 6:51:59 PM', 'November 30th, 6:40:35 PM']}"
Akuma,756,"{'challenge_name': ['Too Hidden', 'Buffer Brawl', 'Forgot Password', 'Secure Shell', 'All your base are belong to us', 'Simpler RSA', 'Sanity Check'], 'challenge_category': ['Forensics', 'Pwn', 'Forensics', 'Beginners', 'Beginners', 'Beginners', 'Miscellaneous'], 'challenge_points': ['150', '228', '163', '50', '65', '50', '50'], 'solve_time': ['November 30th, 9:58:17 PM', 'November 30th, 9:24:54 PM', 'November 30th, 8:02:59 PM', 'November 30th, 7:50:36 PM', 'November 30th, 6:02:06 PM', 'November 30th, 5:46:53 PM', 'November 30th, 5:42:58 PM']}"
caseoh fan boy,749,"{'challenge_name': ['Too Hidden', 'Black Meet Wukong', 'Forgot Password'], 'challenge_category': ['Forensics', 'Forensics', 'Forensics'], 'challenge_points': ['150', '436', '163'], 'solve_time': ['November 30th, 10:31:45 PM', 'November 30th, 10:24:11 PM', 'November 30th, 9:26:57 PM']}"
aespaFanClub,739,"{'challenge_name': ['Simpler RSA', 'Reverb', 'Buffer Brawl', 'WhiteRabbit', 'Sanity Check'], 'challenge_category': ['Beginners', 'Pwn', 'Pwn', 'Beginners', 'Miscellaneous'], 'challenge_points': ['50', '316', '228', '95', '50'], 'solve_time': ['December 1st, 7:05:32 AM', 'December 1st, 12:37:17 AM', 'November 30th, 10:43:52 PM', 'November 30th, 6:22:18 PM', 'November 30th, 5:53:07 PM']}"
CyberSec McGill,725,"{'challenge_name': ['Bulletproof', 'Sanity Check', 'World Wide Flags', 'Bongcloud', 'All your base are belong to us', 'Secure Shell', 'Simpler RSA'], 'challenge_category': ['OSINT', 'Miscellaneous', 'Miscellaneous', 'Miscellaneous', 'Beginners', 'Beginners', 'Beginners'], 'challenge_points': ['207', '50', '150', '153', '65', '50', '50'], 'solve_time': ['December 1st, 2:10:36 AM', 'December 1st, 1:27:41 AM', 'December 1st, 1:20:25 AM', 'December 1st, 12:12:38 AM', 'November 30th, 10:18:28 PM', 'November 30th, 9:48:54 PM', 'November 30th, 9:39:07 PM']}"
