,Team,Challenges
20,bhackari,"{'challenge_name': ['ChatGGT (1)', ""Where's the APT Attack (1)"", 'Baby Cracker', 'ISH (1)', 'Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'Custom Web Server (1)', 'Postfix expression calculator', 'ISA 101', 'Cyp.ress', 'Scratch ERCode', 'Almost DSA', 'RSA LCG (0)', 'Morph', 'Shellcode Runner 3', 'Yet another crackme', 'Crack the Pack (Ⅰ): Head and Shoulders', 'My Lovely Cats', 'Void', 'Shellcode Runner 3 Revenge', 'Flipper Hero', 'Pigeon Post (1)', 'B6ACP', 'Flag hasher', 'Feedback', 'Webpage to PDF (1)', ""Mystiz's Mini CTF (2)"", 'ChatGGT (2)', ""Mystiz's Mini CTF (1)"", 'Hearing Check', 'Webpage to PDF (2)', 'JSPyaml'], 'challenge_points': ['100', '150', '100', '200', '10', '100', '50', '150', '220', '200', '200', '200', '100', '100', '300', '300', '100', '200', '200', '100', '150', '250', '100', '100', '100', '10', '150', '100', '230', '200', '100', '150', '400'], 'challenge_score': '5120'}"
21,RipeRice🌾,"{'challenge_name': ['Sanity check', 'Postfix expression calculator', 'Cyp.ress', 'Baby Cracker', ""Where's the APT Attack (1)"", 'Get Flag Yourself', 'ChatGGT (1)', 'Almost DSA', 'Morph', 'One Way Room', 'New Free Lunch', 'Custom Web Server (1)', 'RSA LCG (0)', 'ISA 101', 'RSA LCG (1)', 'Webpage to PDF (1)', 'B6ACP', 'Void', 'Yet another crackme', 'Pigeon Post (1)', 'Shellcode Runner 3', 'Webpage to PDF (2)', 'My Lovely Cats', 'Flag hasher', ""Mystiz's Mini CTF (2)"", 'Feedback', ""Mystiz's Mini CTF (1)"", 'Cook book', 'Flag Checker', 'Shellcode Runner 3 Revenge', 'Bashed!'], 'challenge_points': ['10', '220', '200', '100', '150', '50', '100', '100', '300', '150', '100', '150', '100', '200', '300', '150', '100', '100', '100', '100', '300', '150', '200', '100', '100', '10', '200', '250', '200', '150', '500'], 'challenge_score': '4940'}"
22,TOP PROGRAMMER 2005 DATABASE MAESTRO,"{'challenge_name': ['Sanity check', 'ISH (1)', 'Almost DSA', 'RSA LCG (0)', 'Morph', 'Get Flag Yourself', 'Bashed!', 'Void', 'Yet another crackme', 'Baby Cracker', 'New Free Lunch', 'Scratch ERCode', 'ChatGGT (1)', 'My Lovely Cats', 'Python Calculator 2', 'ISA 101', 'Cyp.ress', 'B6ACP', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', ""Mystiz's Mini CTF (2)"", ""Mystiz's Mini CTF (1)"", 'Jane Streak Amateurs', 'Cook book', 'Flag hasher', 'Pigeon Post (1)', 'Shellcode Runner 3', 'Feedback', 'Custom Web Server (1)', 'One Way Room'], 'challenge_points': ['10', '200', '100', '100', '300', '50', '500', '100', '100', '100', '100', '200', '100', '200', '400', '200', '200', '100', '150', '150', '100', '200', '150', '250', '100', '100', '300', '10', '150', '150'], 'challenge_score': '4870'}"
23,valgrind,"{'challenge_name': ['Sanity check', ""Where's the APT Attack (1)"", 'Get Flag Yourself', 'ChatGGT (1)', 'Baby Cracker', 'Almost DSA', 'New Free Lunch', 'Custom Web Server (1)', 'ISA 101', 'RSA LCG (0)', 'Pigeon Post (1)', 'ISH (1)', 'Yet another crackme', 'Flag hasher', 'B6ACP', 'Postfix expression calculator', 'Shellcode Runner 3', 'Webpage to PDF (1)', 'Cook book', 'Feedback', 'Void', 'My Lovely Cats', 'Hearing Check', 'ISH (2)', 'Scratch ERCode', 'One Way Room', 'ChatGGT (2)', 'Cyp.ress', 'Morph', 'RSA LCG (1)'], 'challenge_points': ['10', '150', '50', '100', '100', '100', '100', '150', '200', '100', '100', '200', '100', '100', '100', '220', '300', '150', '250', '10', '100', '200', '100', '350', '200', '150', '230', '200', '300', '300'], 'challenge_score': '4720'}"
24,O0104 - NuttyShell Purple,"{'challenge_name': ['Sanity check', 'Baby Cracker', 'Custom Web Server (1)', 'ISA 101', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Cyp.ress', 'Get Flag Yourself', 'RSA LCG (0)', 'ChatGGT (1)', 'Webpage to PDF (1)', 'Flag hasher', 'Void', ""Mystiz's Mini CTF (2)"", '⚡', 'Almost DSA', 'Hearing Check', 'Jane Streak Amateurs', 'B6ACP', 'Cook book', 'My Lovely Cats', 'Feedback', 'Pigeon Post (1)', 'One Way Room', ""Mystiz's Mini CTF (1)"", 'Scratch ERCode', 'JSPyaml', 'Yet another crackme', 'Custom Web Server (2)', 'mAEStro (1): Sample'], 'challenge_points': ['10', '100', '150', '200', '100', '150', '200', '50', '100', '100', '150', '100', '100', '100', '450', '100', '100', '150', '100', '250', '200', '10', '100', '150', '200', '200', '400', '100', '300', '250'], 'challenge_score': '4670'}"
25,Aqua Cat,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'RSA LCG (0)', 'Cyp.ress', 'Almost DSA', 'Baby Cracker', 'ISA 101', 'Pigeon Post (1)', 'Pigeon Post (2)', 'My Lovely Cats', 'Void', 'Flag hasher', 'Bashed!', 'Flag Checker', ""Mystiz's Mini CTF (2)"", 'Morph', ""Where's the APT Attack (1)"", 'Hearing Check', 'Feedback', 'Yet another crackme', 'RSA LCG (3)', 'ChatGGT (1)', 'B6ACP', 'RSA LCG (2)', 'RSA LCG (1)', 'Cook book', 'Webpage to PDF (1)'], 'challenge_points': ['10', '100', '50', '100', '200', '100', '100', '200', '100', '250', '200', '100', '100', '500', '200', '100', '300', '150', '100', '10', '100', '200', '100', '100', '400', '300', '250', '150'], 'challenge_score': '4570'}"
26,Mr.Robot,"{'challenge_name': ['Sanity check', 'Baby Cracker', 'Cyp.ress', 'Get Flag Yourself', 'One Way Room', 'New Free Lunch', 'ChatGGT (1)', ""Where's the APT Attack (1)"", 'RSA LCG (0)', 'Yet another crackme', 'My Lovely Cats', 'Flag hasher', 'Webpage to PDF (1)', 'Shellcode Runner 3', 'Postfix expression calculator', 'Pigeon Post (1)', 'Morph', 'Pigeon Post (2)', 'Feedback', 'ISA 101', 'Void', 'Custom Web Server (1)', 'Flag Checker', 'Python Calculator 2', 'RSA LCG (2)', 'RSA LCG (3)', 'ISH (1)'], 'challenge_points': ['10', '100', '200', '50', '150', '100', '100', '150', '100', '100', '200', '100', '150', '300', '220', '100', '300', '250', '10', '200', '100', '150', '200', '400', '400', '200', '200'], 'challenge_score': '4540'}"
27,NEURON,"{'challenge_name': ['Sanity check', 'Cyp.ress', 'Custom Web Server (2)', 'One Way Room', 'Get Flag Yourself', 'ISA 101', 'New Free Lunch', 'ChatGGT (1)', 'Custom Web Server (1)', 'Baby Cracker', 'RSA LCG (0)', 'Morph', ""Where's the APT Attack (1)"", 'Void', 'Chimera', 'Yet another crackme', 'Flag hasher', 'Webpage to PDF (1)', 'Flag Checker', 'Webpage to PDF (2)', ""Mystiz's Mini CTF (1)"", 'Feedback', 'B6ACP', 'RSA LCG (1)', ""Mystiz's Mini CTF (2)"", 'My Lovely Cats', 'JSPyaml'], 'challenge_points': ['10', '200', '300', '150', '50', '200', '100', '100', '150', '100', '100', '300', '150', '100', '500', '100', '100', '150', '200', '150', '200', '10', '100', '300', '100', '200', '400'], 'challenge_score': '4520'}"
28,T0057 - NuttyShell Red,"{'challenge_name': ['Sanity check', 'RSA LCG (0)', 'One Way Room', 'Baby Cracker', 'New Free Lunch', 'Get Flag Yourself', 'ISA 101', ""Where's the APT Attack (1)"", 'ChatGGT (1)', 'Cyp.ress', 'Custom Web Server (1)', 'Yet another crackme', 'Pigeon Post (1)', 'Hearing Check', 'B6ACP', 'Void', 'My Lovely Cats', 'Jane Streak Amateurs', 'Feedback', 'Cook book', 'Scratch ERCode', 'JSPyaml', 'Webpage to PDF (1)', 'Flag hasher', 'ISH (1)', 'mAEStro (1): Sample', 'Almost DSA', 'Webpage to PDF (2)', ""Mystiz's Mini CTF (1)"", ""Mystiz's Mini CTF (2)"", 'Crack the Pack (Ⅰ): Head and Shoulders'], 'challenge_points': ['10', '100', '150', '100', '100', '50', '200', '150', '100', '200', '150', '100', '100', '100', '100', '100', '200', '150', '10', '250', '200', '400', '150', '100', '200', '250', '100', '150', '200', '100', '200'], 'challenge_score': '4470'}"
29,T0070 - throw stone to water,"{'challenge_name': ['Sanity check', 'Get Flag Yourself', 'Almost DSA', 'RSA LCG (0)', 'RSA LCG (1)', 'New Free Lunch', 'RSA LCG (3)', 'ChatGGT (1)', 'My Lovely Cats', 'Webpage to PDF (1)', 'RSA LCG (2)', 'Pigeon Post (1)', 'Scratch ERCode', 'Cook book', 'Yet another crackme', ""Where's the APT Attack (1)"", 'Pigeon Post (2)', 'Void', 'mAEStro (1): Sample', 'Baby Cracker', 'Cyp.ress', 'Flag Checker', 'Morph', 'Flag hasher', 'Feedback', 'Hearing Check', 'B6ACP', 'ISA 101'], 'challenge_points': ['10', '50', '100', '100', '300', '100', '200', '100', '200', '150', '400', '100', '200', '250', '100', '150', '250', '100', '250', '100', '200', '200', '300', '100', '10', '100', '100', '200'], 'challenge_score': '4420'}"
30,La frèrerie,"{'challenge_name': ['New Free Lunch', 'Almost DSA', 'RSA LCG (0)', 'Sanity check', 'Custom Web Server (1)', 'Baby Cracker', 'Get Flag Yourself', 'Custom Web Server (2)', 'ChatGGT (1)', 'Scratch ERCode', 'Cyp.ress', 'Void', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'Webpage to PDF (2)', ""Mystiz's Mini CTF (2)"", 'Morph', ""Mystiz's Mini CTF (1)"", 'Pigeon Post (1)', 'B6ACP', 'My Lovely Cats', 'Flag hasher', 'Hearing Check', 'ISA 101', 'Yet another crackme', 'Flag Checker', 'One Way Room', 'Jane Streak Amateurs', 'Cook book'], 'challenge_points': ['100', '100', '100', '10', '150', '100', '50', '300', '100', '200', '200', '100', '150', '150', '150', '100', '300', '200', '100', '100', '200', '100', '100', '200', '100', '200', '150', '150', '250'], 'challenge_score': '4210'}"
31,T0063 - kawaii firebird chan imprisons me every day,"{'challenge_name': ['Sanity check', ""Where's the APT Attack (1)"", 'Cyp.ress', 'ISA 101', 'One Way Room', 'Get Flag Yourself', 'New Free Lunch', 'ChatGGT (1)', 'Custom Web Server (1)', 'Baby Cracker', 'Morph', 'RSA LCG (0)', 'Webpage to PDF (1)', 'Flag hasher', 'Void', 'B6ACP', 'My Lovely Cats', 'Almost DSA', 'Yet another crackme', 'Hearing Check', 'Feedback', 'Flag Checker', ""Mystiz's Mini CTF (2)"", 'Pigeon Post (1)', 'Bashed!', 'Cook book', ""Mystiz's Mini CTF (1)"", 'Scratch ERCode'], 'challenge_points': ['10', '150', '200', '200', '150', '50', '100', '100', '150', '100', '300', '100', '150', '100', '100', '100', '200', '100', '100', '100', '10', '200', '100', '100', '500', '250', '200', '200'], 'challenge_score': '4120'}"
32,MEOW MEOW MEOW MEOW MEOW,"{'challenge_name': ['Sanity check', 'ChatGGT (1)', 'New Free Lunch', 'Baby Cracker', 'Almost DSA', 'RSA LCG (0)', 'ISA 101', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Chimera', 'Cyp.ress', '⚡', 'JSPyaml', 'Custom Web Server (1)', 'Pigeon Post (1)', 'Feedback', 'Webpage to PDF (1)', 'Void', 'Pigeon Post (2)', 'mAEStro (1): Sample', ""Mystiz's Mini CTF (2)"", 'RSA LCG (1)', 'Flag Checker'], 'challenge_points': ['10', '100', '100', '100', '100', '100', '200', '50', '150', '500', '200', '450', '400', '150', '100', '10', '150', '100', '250', '250', '100', '300', '200'], 'challenge_score': '4070'}"
33,O0014 - FirebUwU,"{'challenge_name': ['Sanity check', 'Morph', 'ISH (1)', 'Cyp.ress', 'New Free Lunch', 'Baby Cracker', 'Get Flag Yourself', 'ChatGGT (1)', 'Custom Web Server (1)', ""Where's the APT Attack (1)"", 'ISA 101', 'One Way Room', 'Scratch ERCode', 'Webpage to PDF (1)', 'My Lovely Cats', 'RSA LCG (0)', 'Webpage to PDF (2)', 'B6ACP', 'Void', 'Pigeon Post (1)', 'Feedback', 'Yet another crackme', 'Flag hasher', 'Jane Streak Amateurs', ""Mystiz's Mini CTF (1)"", ""Mystiz's Mini CTF (2)"", 'Hearing Check', 'Cook book', 'Postfix expression calculator'], 'challenge_points': ['10', '300', '200', '200', '100', '100', '50', '100', '150', '150', '200', '150', '200', '150', '200', '100', '150', '100', '100', '100', '10', '100', '100', '150', '200', '100', '100', '250', '220'], 'challenge_score': '4040'}"
34,I'm Carried by Putra's Family,"{'challenge_name': ['Postfix expression calculator', 'Black Magic', 'Cyp.ress', 'New Free Lunch', ""Where's the APT Attack (1)"", 'Sanity check', 'ChatGGT (1)', 'Custom Web Server (1)', 'Baby Cracker', 'ISA 101', 'Get Flag Yourself', 'Almost DSA', 'Morph', 'RSA LCG (0)', 'ISH (1)', 'Webpage to PDF (1)', 'Webpage to PDF (2)', 'Void', 'Yet another crackme', 'Flag Checker', 'Bashed!', 'Flag hasher', 'Feedback', 'Shellcode Runner 3'], 'challenge_points': ['220', '400', '200', '100', '150', '10', '100', '150', '100', '200', '50', '100', '300', '100', '200', '150', '150', '100', '100', '200', '500', '100', '10', '300'], 'challenge_score': '3990'}"
35,BKISC,"{'challenge_name': ['Sanity check', ""Where's the APT Attack (1)"", 'ISA 101', 'RSA LCG (3)', 'Almost DSA', 'New Free Lunch', 'Get Flag Yourself', 'RSA LCG (0)', 'Baby Cracker', 'Morph', 'ChatGGT (1)', 'Cyp.ress', 'RSA LCG (1)', 'Pigeon Post (1)', 'Pigeon Post (2)', 'Void', 'RSA LCG (2)', 'Flag hasher', 'mAEStro (1): Sample', 'mAEStro (2): Shuffle', 'Yet another crackme', 'Flag Checker', 'Postfix expression calculator'], 'challenge_points': ['10', '150', '200', '200', '100', '100', '50', '100', '100', '300', '100', '200', '300', '100', '250', '100', '400', '100', '250', '350', '100', '200', '220'], 'challenge_score': '3980'}"
36,spookies,"{'challenge_name': ['New Free Lunch', 'ISH (2)', 'Get Flag Yourself', 'Almost DSA', 'ISA 101', 'Sanity check', 'ISH (1)', 'ISH (3)', 'Postfix expression calculator', 'RSA LCG (0)', 'One Way Room', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'Feedback', 'Webpage to PDF (2)', 'Flag hasher', 'Shellcode Runner 3 Revenge', 'Shellcode Runner 3', 'ChatGGT (1)', 'Custom Web Server (1)', 'ChatGGT (2)', 'B6ACP', ""Where's the APT Attack (1)""], 'challenge_points': ['100', '350', '50', '100', '200', '10', '200', '500', '220', '100', '150', '150', '100', '10', '150', '100', '150', '300', '100', '150', '230', '100', '150'], 'challenge_score': '3670'}"
37,T0084 - ' or '1' = '1,"{'challenge_name': ['Sanity check', 'ISA 101', 'ChatGGT (1)', 'New Free Lunch', 'Get Flag Yourself', 'Baby Cracker', 'RSA LCG (0)', 'Custom Web Server (1)', 'Scratch ERCode', 'Morph', 'Webpage to PDF (1)', 'Yet another crackme', 'Pigeon Post (1)', 'Flag hasher', 'B6ACP', 'Feedback', 'mAEStro (1): Sample', 'Void', ""Where's the APT Attack (1)"", 'Cook book', 'Mask-mask-RSA', 'ISH (1)', 'Almost DSA'], 'challenge_points': ['10', '200', '100', '100', '50', '100', '100', '150', '200', '300', '150', '100', '100', '100', '100', '10', '250', '100', '150', '250', '500', '200', '100'], 'challenge_score': '3420'}"
38,S0027 - Diocesan Boys' School,"{'challenge_name': ['Sanity check', ""Where's the APT Attack (1)"", 'RSA LCG (0)', 'New Free Lunch', 'ChatGGT (1)', 'Baby Cracker', 'Get Flag Yourself', 'Custom Web Server (1)', 'ISA 101', 'Flag hasher', 'Pigeon Post (1)', 'Webpage to PDF (1)', ""Mystiz's Mini CTF (2)"", 'Feedback', 'Yet another crackme', 'Void', 'B6ACP', 'Cyp.ress', 'Scratch ERCode', 'Cook book', 'Jane Streak Amateurs', 'JSPyaml', 'Almost DSA', 'My Lovely Cats', 'One Way Room'], 'challenge_points': ['10', '150', '100', '100', '100', '100', '50', '150', '200', '100', '100', '150', '100', '10', '100', '100', '100', '200', '200', '250', '150', '400', '100', '200', '150'], 'challenge_score': '3370'}"
39,S0158 - Shatin Pui Ying College,"{'challenge_name': ['ISA 101', ""Where's the APT Attack (1)"", 'Custom Web Server (1)', 'Sanity check', 'Almost DSA', 'Get Flag Yourself', 'New Free Lunch', 'ChatGGT (1)', 'Scratch ERCode', 'Baby Cracker', 'Webpage to PDF (1)', 'Void', 'B6ACP', 'Flag hasher', ""Mystiz's Mini CTF (1)"", ""Mystiz's Mini CTF (2)"", 'Feedback', 'My Lovely Cats', 'Cyp.ress', 'Cook book', 'ISH (1)', 'Pigeon Post (1)', 'Yet another crackme', 'Crack the Pack (Ⅰ): Head and Shoulders', 'RSA LCG (0)'], 'challenge_points': ['200', '150', '150', '10', '100', '50', '100', '100', '200', '100', '150', '100', '100', '100', '200', '100', '10', '200', '200', '250', '200', '100', '100', '200', '100'], 'challenge_score': '3270'}"
40,O0073 - Nightwing,"{'challenge_name': ['Sanity check', 'Baby Cracker', 'One Way Room', 'Custom Web Server (1)', 'New Free Lunch', 'ChatGGT (1)', 'Almost DSA', 'Get Flag Yourself', 'ISA 101', ""Where's the APT Attack (1)"", 'RSA LCG (0)', 'ISH (1)', 'Void', 'Webpage to PDF (1)', 'B6ACP', 'Yet another crackme', 'Hearing Check', 'Feedback', 'Pigeon Post (1)', 'Cyp.ress', 'My Lovely Cats', ""Mystiz's Mini CTF (2)"", 'Flag hasher', 'Jane Streak Amateurs', ""Mystiz's Mini CTF (1)"", 'Scratch ERCode'], 'challenge_points': ['10', '100', '150', '150', '100', '100', '100', '50', '200', '150', '100', '200', '100', '150', '100', '100', '100', '10', '100', '200', '200', '100', '100', '150', '200', '200'], 'challenge_score': '3220'}"
41,suica,"{'challenge_name': [""Where's the APT Attack (1)"", 'ISA 101', 'New Free Lunch', 'Get Flag Yourself', 'Baby Cracker', 'ChatGGT (1)', 'Sanity check', 'RSA LCG (0)', 'Yet another crackme', 'Flag hasher', 'B6ACP', 'Webpage to PDF (1)', 'Scratch ERCode', 'Pigeon Post (1)', 'Void', 'Feedback', 'Almost DSA', 'Cyp.ress', 'Morph', 'Postfix expression calculator', 'Hearing Check', 'One Way Room', 'Cook book', 'My Lovely Cats'], 'challenge_points': ['150', '200', '100', '50', '100', '100', '10', '100', '100', '100', '100', '150', '200', '100', '100', '10', '100', '200', '300', '220', '100', '150', '250', '200'], 'challenge_score': '3190'}"
42,SU,"{'challenge_name': ['Custom Web Server (1)', 'ChatGGT (1)', 'Cyp.ress', 'Baby Cracker', 'Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'Morph', 'ISA 101', ""Where's the APT Attack (1)"", 'Void', 'Yet another crackme', 'Webpage to PDF (1)', 'Flag Checker', 'RSA LCG (0)', 'Feedback', 'Flag hasher', 'MBTI Radar', 'ISH (1)', 'Postfix expression calculator'], 'challenge_points': ['150', '100', '200', '100', '10', '100', '50', '300', '200', '150', '100', '100', '150', '200', '100', '10', '100', '500', '200', '220'], 'challenge_score': '3040'}"
43,T0059 - NuttyShell Green,"{'challenge_name': ['Sanity check', 'Baby Cracker', 'New Free Lunch', 'RSA LCG (0)', 'Get Flag Yourself', 'ChatGGT (1)', 'Webpage to PDF (1)', ""Where's the APT Attack (1)"", 'Flag hasher', 'Pigeon Post (1)', 'Yet another crackme', ""Mystiz's Mini CTF (2)"", 'ISA 101', 'Feedback', 'mAEStro (1): Sample', 'Jane Streak Amateurs', 'Webpage to PDF (2)', 'Cyp.ress', 'Void', 'My Lovely Cats', 'Hearing Check', 'Custom Web Server (1)', 'Almost DSA', 'ISH (1)'], 'challenge_points': ['10', '100', '100', '100', '50', '100', '150', '150', '100', '100', '100', '100', '200', '10', '250', '150', '150', '200', '100', '200', '100', '150', '100', '200'], 'challenge_score': '2970'}"
44,xyz,"{'challenge_name': ['Sanity check', 'ISA 101', 'New Free Lunch', 'Get Flag Yourself', 'Cyp.ress', 'Custom Web Server (1)', 'Baby Cracker', 'ChatGGT (1)', 'ISH (1)', 'Morph', 'RSA LCG (0)', 'Scratch ERCode', 'Postfix expression calculator', 'Almost DSA', 'Flag hasher', 'Void', 'Pigeon Post (1)', 'Webpage to PDF (1)', 'Flag Checker', 'Cook book'], 'challenge_points': ['10', '200', '100', '50', '200', '150', '100', '100', '200', '300', '100', '200', '220', '100', '100', '100', '100', '150', '200', '250'], 'challenge_score': '2930'}"
45,S0002 - King George V School,"{'challenge_name': ['Cyp.ress', 'Baby Cracker', 'Sanity check', 'New Free Lunch', 'B6ACP', 'Scratch ERCode', 'Custom Web Server (1)', 'ISA 101', 'ChatGGT (1)', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Webpage to PDF (1)', 'Webpage to PDF (2)', 'Pigeon Post (1)', 'Void', 'Yet another crackme', 'Flag hasher', 'My Lovely Cats', ""Mystiz's Mini CTF (2)"", 'Feedback', 'RSA LCG (0)', 'Cook book', 'Flag Checker'], 'challenge_points': ['200', '100', '10', '100', '100', '200', '150', '200', '100', '50', '150', '150', '150', '100', '100', '100', '100', '200', '100', '10', '100', '250', '200'], 'challenge_score': '2920'}"
46,[[H@ck3r.dro7],"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Baby Cracker', 'ChatGGT (1)', 'Get Flag Yourself', 'RSA LCG (0)', ""Where's the APT Attack (1)"", 'Yet another crackme', 'Pigeon Post (1)', 'Flag hasher', 'B6ACP', ""Mystiz's Mini CTF (1)"", 'Webpage to PDF (1)', 'Feedback', 'Void', 'Almost DSA', ""Mystiz's Mini CTF (2)"", 'One Way Room', 'Webpage to PDF (2)', 'Cyp.ress', 'Cook book', 'My Lovely Cats', 'mAEStro (1): Sample'], 'challenge_points': ['10', '100', '100', '100', '50', '100', '150', '100', '100', '100', '100', '200', '150', '10', '100', '100', '100', '150', '150', '200', '250', '200', '250'], 'challenge_score': '2870'}"
47,Chinagdn【JY】,"{'challenge_name': ['Cyp.ress', 'Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'ISA 101', 'Baby Cracker', 'ChatGGT (1)', 'Void', 'Webpage to PDF (2)', 'Feedback', 'Yet another crackme', 'Flag hasher', 'Morph', 'Flag Checker', 'ISH (1)', 'RSA LCG (0)', 'Webpage to PDF (1)', 'Shellcode Runner 3', 'Shellcode Runner 3 Revenge', 'Scratch ERCode'], 'challenge_points': ['200', '10', '100', '50', '200', '100', '100', '100', '150', '10', '100', '100', '300', '200', '200', '100', '150', '300', '150', '200'], 'challenge_score': '2820'}"
48,terkctf,"{'challenge_name': ['Scratch ERCode', 'Cyp.ress', 'Sanity check', 'ChatGGT (1)', 'Almost DSA', 'Get Flag Yourself', 'Baby Cracker', 'New Free Lunch', 'Flag hasher', 'RSA LCG (0)', 'Custom Web Server (1)', 'RSA LCG (1)', 'RSA LCG (3)', 'RSA LCG (2)', 'Morph', ""Mystiz's Mini CTF (2)"", 'Pigeon Post (1)', 'Feedback', 'My Lovely Cats'], 'challenge_points': ['200', '200', '10', '100', '100', '50', '100', '100', '100', '100', '150', '300', '200', '400', '300', '100', '100', '10', '200'], 'challenge_score': '2820'}"
49,Just For The Questions,"{'challenge_name': ['Sanity check', 'Baby Cracker', 'Shellcode Runner 3', 'Void', 'Cyp.ress', 'Flag hasher', 'ChatGGT (1)', 'ISA 101', 'Yet another crackme', 'Morph', 'Postfix expression calculator', 'Shellcode Runner 3 Revenge', 'Feedback', 'Get Flag Yourself', 'ChatGGT (2)', 'Flag Checker', ""Where's the APT Attack (1)"", 'New Free Lunch', 'Webpage to PDF (1)'], 'challenge_points': ['10', '100', '300', '100', '200', '100', '100', '200', '100', '300', '220', '150', '10', '50', '230', '200', '150', '100', '150'], 'challenge_score': '2770'}"
50,Asuri,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Baby Cracker', 'ChatGGT (1)', 'Get Flag Yourself', 'ISA 101', 'ISH (1)', 'Void', 'MBTI Radar', 'My Lovely Cats', 'Shellcode Runner 3', 'Webpage to PDF (1)', 'Shellcode Runner 3 Revenge', 'Bashed!', 'Flag hasher'], 'challenge_points': ['10', '100', '100', '100', '50', '200', '200', '100', '500', '200', '300', '150', '150', '500', '100'], 'challenge_score': '2760'}"
51,O0117 - EzAntiPwn,"{'challenge_name': ['Sanity check', ""Where's the APT Attack (1)"", 'One Way Room', 'Cyp.ress', 'New Free Lunch', 'Get Flag Yourself', 'Custom Web Server (1)', 'Scratch ERCode', 'Flag hasher', 'Webpage to PDF (1)', 'B6ACP', 'Jane Streak Amateurs', 'ISA 101', 'RSA LCG (0)', 'Void', 'Feedback', 'Pigeon Post (1)', ""Mystiz's Mini CTF (2)"", ""Mystiz's Mini CTF (1)"", 'Webpage to PDF (2)', 'Yet another crackme', 'Baby Cracker'], 'challenge_points': ['10', '150', '150', '200', '100', '50', '150', '200', '100', '150', '100', '150', '200', '100', '100', '10', '100', '100', '200', '150', '100', '100'], 'challenge_score': '2670'}"
52,O0060 - ShibaSecure,"{'challenge_name': ['One Way Room', 'New Free Lunch', 'Sanity check', 'Get Flag Yourself', ""Where's the APT Attack (1)"", 'Custom Web Server (1)', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'RSA LCG (0)', 'Baby Cracker', 'Feedback', 'Void', 'ISA 101', ""Mystiz's Mini CTF (2)"", 'Flag hasher', 'ChatGGT (1)', ""Mystiz's Mini CTF (1)"", 'B6ACP', 'My Lovely Cats', 'Almost DSA', 'Cook book'], 'challenge_points': ['150', '100', '10', '50', '150', '150', '150', '100', '100', '100', '10', '100', '200', '100', '100', '100', '200', '100', '200', '100', '250'], 'challenge_score': '2520'}"
53,Emp3ri4ns,"{'challenge_name': ['Sanity check', 'One Way Room', 'Cyp.ress', 'New Free Lunch', 'Baby Cracker', ""Where's the APT Attack (1)"", 'Custom Web Server (1)', 'RSA LCG (0)', 'ISA 101', 'Morph', 'Flag hasher', 'ChatGGT (1)', 'ISH (1)', 'Void', 'Feedback', 'Yet another crackme', 'B6ACP', 'Shellcode Runner 3'], 'challenge_points': ['10', '150', '200', '100', '100', '150', '150', '100', '200', '300', '100', '100', '200', '100', '10', '100', '100', '300'], 'challenge_score': '2470'}"
54,O0076 - 404 T34m N0t F0und,"{'challenge_name': ['Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'Webpage to PDF (1)', 'Baby Cracker', 'Almost DSA', 'Pigeon Post (1)', 'Void', ""Mystiz's Mini CTF (2)"", 'ISA 101', 'B6ACP', 'Feedback', 'Yet another crackme', 'Cyp.ress', 'Custom Web Server (1)', 'My Lovely Cats', 'RSA LCG (0)', 'ChatGGT (1)', ""Where's the APT Attack (1)"", ""Mystiz's Mini CTF (1)"", 'Flag hasher'], 'challenge_points': ['10', '100', '50', '150', '100', '100', '100', '100', '100', '200', '100', '10', '100', '200', '150', '200', '100', '100', '150', '200', '100'], 'challenge_score': '2420'}"
55,HakcerMan,"{'challenge_name': [""Where's the APT Attack (1)"", 'Sanity check', 'New Free Lunch', 'Get Flag Yourself', 'RSA LCG (0)', 'Yet another crackme', 'ChatGGT (1)', 'Webpage to PDF (1)', 'Pigeon Post (1)', 'RSA LCG (2)', 'Feedback', 'One Way Room', 'Pigeon Post (2)', 'RSA LCG (3)', 'Custom Web Server (1)', 'Jane Streak Amateurs', 'ISH (1)'], 'challenge_points': ['150', '10', '100', '50', '100', '100', '100', '150', '100', '400', '10', '150', '250', '200', '150', '150', '200'], 'challenge_score': '2370'}"
