Place,Name,Points,Challenges
11,organizers,3037,"{'challenge_name': ['vuln-img', 'Sanity Check', 'FL_Support_Center', 'serverless', 'TSGDBinary', 'Password-Ate-Quiz', 'piercing_misty_mountain', 'Toolong Tea', 'I Have Been Pwned', 'Cipher Preset Button', 'Mystery of Scattered Key', 'Easy? ECDLP', 'Feistel Barrier', 'Misbehave', 'prime shellcode', 'Warmup SQLite', 'Cached File Viewer', 'simple calc'], 'challenge_category': ['pwn', 'Warmup', 'pwn', 'reversing', 'reversing', 'pwn', 'pwn', 'web', 'web', 'web', 'crypto', 'crypto', 'crypto', 'reversing', 'misc', 'reversing', 'misc', 'misc'], 'challenge_points': ['166', '100', '305', '221', '205', '108', '179', '100', '189', '210', '125', '197', '150', '114', '210', '189', '113', '156'], 'solve_time': ['2024-12-15T06:57:46.966Z', '2024-12-15T06:56:50.370Z', '2024-12-15T06:55:46.594Z', '2024-12-15T06:54:43.128Z', '2024-12-15T06:54:27.547Z', '2024-12-15T06:52:48.169Z', '2024-12-15T06:50:57.683Z', '2024-12-15T06:50:35.485Z', '2024-12-15T06:50:24.647Z', '2024-12-15T06:50:04.568Z', '2024-12-15T06:49:21.047Z', '2024-12-15T06:49:09.558Z', '2024-12-15T06:48:37.502Z', '2024-12-15T06:48:19.410Z', '2024-12-15T06:47:56.604Z', '2024-12-15T06:46:55.216Z', '2024-12-15T06:46:31.874Z', '2024-12-15T06:45:51.648Z']}"
12,Fruit,Ninja,"{'challenge_name': ['vuln-img', 'Cipher Preset Button', 'Password-Ate-Quiz', 'prime shellcode', 'piercing_misty_mountain', 'Who is the Outlier?', 'serverless', 'simple calc', 'Misbehave', 'TSGDBinary', 'Easy? ECDLP', 'Feistel Barrier', 'Cached File Viewer', 'Mystery of Scattered Key', 'Sanity Check', 'Toolong Tea', 'Warmup SQLite'], 'challenge_category': ['pwn', 'web', 'pwn', 'misc', 'pwn', 'crypto', 'reversing', 'misc', 'reversing', 'reversing', 'crypto', 'crypto', 'misc', 'crypto', 'Warmup', 'web', 'reversing'], 'challenge_points': ['166', '210', '108', '210', '179', '227', '221', '156', '114', '205', '197', '150', '113', '125', '100', '100', '189'], 'solve_time': ['2024-12-15T02:24:06.208Z', '2024-12-14T21:18:15.547Z', '2024-12-14T19:06:39.784Z', '2024-12-14T17:10:53.799Z', '2024-12-14T14:25:45.212Z', '2024-12-14T14:17:17.406Z', '2024-12-14T14:05:32.748Z', '2024-12-14T13:47:55.204Z', '2024-12-14T13:08:02.023Z', '2024-12-14T12:36:30.623Z', '2024-12-14T11:56:17.952Z', '2024-12-14T11:50:39.753Z', '2024-12-14T11:50:30.137Z', '2024-12-14T11:38:24.412Z', '2024-12-14T11:18:12.108Z', '2024-12-14T11:11:52.116Z', '2024-12-14T11:03:44.936Z']}"
13,full_weak_engineer,2625,"{'challenge_name': ['TSGDBinary', 'Survey', 'serverless', 'Feistel Barrier', 'prime shellcode', 'Cipher Preset Button', 'Mystery of Scattered Key', 'Scattered in the fog', 'piercing_misty_mountain', 'vuln-img', 'Misbehave', 'Warmup SQLite', 'Cached File Viewer', 'simple calc', 'Toolong Tea', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['reversing', 'cooldown', 'reversing', 'crypto', 'misc', 'web', 'crypto', 'misc', 'pwn', 'pwn', 'reversing', 'reversing', 'misc', 'misc', 'web', 'pwn', 'Warmup'], 'challenge_points': ['205', '1', '221', '150', '210', '210', '125', '278', '179', '166', '114', '189', '113', '156', '100', '108', '100'], 'solve_time': ['2024-12-15T05:30:38.677Z', '2024-12-15T04:38:51.854Z', '2024-12-15T03:59:24.090Z', '2024-12-15T03:19:58.901Z', '2024-12-14T18:50:05.240Z', '2024-12-14T17:14:19.563Z', '2024-12-14T16:26:30.908Z', '2024-12-14T15:50:02.894Z', '2024-12-14T14:14:32.461Z', '2024-12-14T12:53:06.716Z', '2024-12-14T11:22:56.437Z', '2024-12-14T10:39:19.412Z', '2024-12-14T10:05:26.261Z', '2024-12-14T08:17:01.524Z', '2024-12-14T07:52:20.003Z', '2024-12-14T07:38:36.331Z', '2024-12-14T07:01:11.148Z']}"
14,RubiyaLab,2612,"{'challenge_name': ['simple calc', 'FL_Support_Center', 'Warmup SQLite', 'prime shellcode', 'Survey', 'Cipher Preset Button', 'piercing_misty_mountain', 'Feistel Barrier', 'Mystery of Scattered Key', 'Easy? ECDLP', 'vuln-img', 'I Have Been Pwned', 'Password-Ate-Quiz', 'Cached File Viewer', 'Misbehave', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['misc', 'pwn', 'reversing', 'misc', 'cooldown', 'web', 'pwn', 'crypto', 'crypto', 'crypto', 'pwn', 'web', 'pwn', 'misc', 'reversing', 'web', 'Warmup'], 'challenge_points': ['156', '305', '189', '210', '1', '210', '179', '150', '125', '197', '166', '189', '108', '113', '114', '100', '100'], 'solve_time': ['2024-12-14T20:42:46.830Z', '2024-12-14T19:06:45.822Z', '2024-12-14T16:53:13.214Z', '2024-12-14T16:19:35.456Z', '2024-12-14T14:14:12.150Z', '2024-12-14T13:47:35.118Z', '2024-12-14T13:42:38.961Z', '2024-12-14T13:24:32.970Z', '2024-12-14T12:39:49.556Z', '2024-12-14T12:35:29.691Z', '2024-12-14T11:58:54.194Z', '2024-12-14T10:57:49.915Z', '2024-12-14T09:17:18.331Z', '2024-12-14T09:11:34.774Z', '2024-12-14T08:37:18.271Z', '2024-12-14T07:41:18.340Z', '2024-12-14T07:03:13.210Z']}"
15,FluxFingers,2582,"{'challenge_name': ['prime shellcode', 'Warmup SQLite', 'vuln-img', 'piercing_misty_mountain', 'Easy? ECDLP', 'serverless', 'Mystery of Scattered Key', 'TSGDBinary', 'Cipher Preset Button', 'Cached File Viewer', 'I Have Been Pwned', 'simple calc', 'Password-Ate-Quiz', 'Toolong Tea', 'Misbehave', 'Sanity Check'], 'challenge_category': ['misc', 'reversing', 'pwn', 'pwn', 'crypto', 'reversing', 'crypto', 'reversing', 'web', 'misc', 'web', 'misc', 'pwn', 'web', 'reversing', 'Warmup'], 'challenge_points': ['210', '189', '166', '179', '197', '221', '125', '205', '210', '113', '189', '156', '108', '100', '114', '100'], 'solve_time': ['2024-12-14T22:15:40.756Z', '2024-12-14T20:55:50.213Z', '2024-12-14T20:25:14.867Z', '2024-12-14T19:52:10.833Z', '2024-12-14T18:45:42.116Z', '2024-12-14T18:29:28.821Z', '2024-12-14T15:30:31.463Z', '2024-12-14T15:08:43.298Z', '2024-12-14T14:09:41.670Z', '2024-12-14T12:41:13.280Z', '2024-12-14T12:26:12.561Z', '2024-12-14T11:55:58.679Z', '2024-12-14T11:23:37.027Z', '2024-12-14T09:35:38.556Z', '2024-12-14T08:42:08.956Z', '2024-12-14T07:56:54.382Z']}"
16,Water,Paddler,"{'challenge_name': ['Misbehave', 'Cached File Viewer 2', 'Who is the Outlier?', 'Easy? ECDLP', 'prime shellcode', 'Cipher Preset Button', 'piercing_misty_mountain', 'simple calc', 'Feistel Barrier', 'vuln-img', 'Cached File Viewer', 'Mystery of Scattered Key', 'Password-Ate-Quiz', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['reversing', 'misc', 'crypto', 'crypto', 'misc', 'web', 'pwn', 'misc', 'crypto', 'pwn', 'misc', 'crypto', 'pwn', 'web', 'Warmup'], 'challenge_points': ['114', '206', '227', '197', '210', '210', '179', '156', '150', '166', '113', '125', '108', '100', '100'], 'solve_time': ['2024-12-15T06:41:08.310Z', '2024-12-15T03:18:49.537Z', '2024-12-14T23:57:57.617Z', '2024-12-14T22:14:50.392Z', '2024-12-14T21:38:19.446Z', '2024-12-14T18:35:09.904Z', '2024-12-14T12:56:50.069Z', '2024-12-14T12:04:36.893Z', '2024-12-14T11:38:57.772Z', '2024-12-14T11:22:31.723Z', '2024-12-14T10:13:38.080Z', '2024-12-14T09:17:27.801Z', '2024-12-14T08:28:24.523Z', '2024-12-14T07:16:49.398Z', '2024-12-14T07:01:47.707Z']}"
17,our,team,"{'challenge_name': ['serverless', 'Easy? ECDLP', 'simple calc', 'Warmup SQLite', 'prime shellcode', 'TSGDBinary', 'piercing_misty_mountain', 'Feistel Barrier', 'Survey', 'vuln-img', 'Password-Ate-Quiz', 'Cached File Viewer', 'Misbehave', 'Toolong Tea', 'Mystery of Scattered Key', 'Sanity Check'], 'challenge_category': ['reversing', 'crypto', 'misc', 'reversing', 'misc', 'reversing', 'pwn', 'crypto', 'cooldown', 'pwn', 'pwn', 'misc', 'reversing', 'web', 'crypto', 'Warmup'], 'challenge_points': ['221', '197', '156', '189', '210', '205', '179', '150', '1', '166', '108', '113', '114', '100', '125', '100'], 'solve_time': ['2024-12-15T04:57:34.621Z', '2024-12-15T04:43:30.618Z', '2024-12-15T02:38:35.855Z', '2024-12-14T23:46:02.798Z', '2024-12-14T16:47:36.251Z', '2024-12-14T16:33:41.577Z', '2024-12-14T15:12:23.248Z', '2024-12-14T14:44:04.837Z', '2024-12-14T14:09:42.653Z', '2024-12-14T14:00:36.160Z', '2024-12-14T12:01:22.973Z', '2024-12-14T09:24:31.347Z', '2024-12-14T08:13:07.848Z', '2024-12-14T08:11:38.209Z', '2024-12-14T07:32:19.052Z', '2024-12-14T07:02:10.049Z']}"
18,Combat,Power,"{'challenge_name': ['prime shellcode', 'serverless', 'Feistel Barrier', 'piercing_misty_mountain', 'Mystery of Scattered Key', 'TSGDBinary', 'Warmup SQLite', 'Misbehave', 'Cached File Viewer', 'vuln-img', 'Toolong Tea', 'simple calc', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['misc', 'reversing', 'crypto', 'pwn', 'crypto', 'reversing', 'reversing', 'reversing', 'misc', 'pwn', 'web', 'misc', 'pwn', 'Warmup'], 'challenge_points': ['210', '221', '150', '179', '125', '205', '189', '114', '113', '166', '100', '156', '108', '100'], 'solve_time': ['2024-12-15T01:18:42.566Z', '2024-12-14T21:09:56.941Z', '2024-12-14T20:00:43.544Z', '2024-12-14T17:32:57.562Z', '2024-12-14T16:48:54.932Z', '2024-12-14T16:22:19.026Z', '2024-12-14T14:21:41.774Z', '2024-12-14T10:51:56.375Z', '2024-12-14T10:30:31.623Z', '2024-12-14T10:23:44.987Z', '2024-12-14T09:39:42.350Z', '2024-12-14T09:05:18.655Z', '2024-12-14T08:50:47.865Z', '2024-12-14T07:01:07.955Z']}"
19,ASIS,2090,"{'challenge_name': ['serverless', 'CONPASS', 'I Have Been Pwned', 'Who is the Outlier?', 'simple calc', 'Easy? ECDLP', 'Feistel Barrier', 'Mystery of Scattered Key', 'Cached File Viewer', 'Password-Ate-Quiz', 'Misbehave', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['reversing', 'crypto', 'web', 'crypto', 'misc', 'crypto', 'crypto', 'crypto', 'misc', 'pwn', 'reversing', 'web', 'Warmup'], 'challenge_points': ['221', '290', '189', '227', '156', '197', '150', '125', '113', '108', '114', '100', '100'], 'solve_time': ['2024-12-15T01:51:40.660Z', '2024-12-14T23:10:12.490Z', '2024-12-14T20:18:50.677Z', '2024-12-14T18:39:14.491Z', '2024-12-14T18:33:10.737Z', '2024-12-14T15:48:05.650Z', '2024-12-14T13:28:58.462Z', '2024-12-14T13:03:53.003Z', '2024-12-14T11:27:51.595Z', '2024-12-14T10:53:06.135Z', '2024-12-14T10:40:58.362Z', '2024-12-14T07:31:59.065Z', '2024-12-14T07:10:03.835Z']}"
20,Team,Enu,"{'challenge_name': ['Survey', 'TSGDBinary', 'serverless', 'Mystery of Scattered Key', 'prime shellcode', 'piercing_misty_mountain', 'Warmup SQLite', 'vuln-img', 'Cached File Viewer', 'simple calc', 'Toolong Tea', 'Password-Ate-Quiz', 'Misbehave', 'Sanity Check'], 'challenge_category': ['cooldown', 'reversing', 'reversing', 'crypto', 'misc', 'pwn', 'reversing', 'pwn', 'misc', 'misc', 'web', 'pwn', 'reversing', 'Warmup'], 'challenge_points': ['1', '205', '221', '125', '210', '179', '189', '166', '113', '156', '100', '108', '114', '100'], 'solve_time': ['2024-12-15T06:58:52.414Z', '2024-12-15T06:18:00.164Z', '2024-12-15T04:11:35.175Z', '2024-12-15T01:29:21.820Z', '2024-12-14T21:38:36.211Z', '2024-12-14T15:16:29.171Z', '2024-12-14T12:48:43.691Z', '2024-12-14T12:08:41.393Z', '2024-12-14T10:06:50.623Z', '2024-12-14T09:39:08.126Z', '2024-12-14T09:02:16.884Z', '2024-12-14T08:24:37.225Z', '2024-12-14T07:33:25.941Z', '2024-12-14T07:02:05.883Z']}"
21,zoozar,1981,"{'challenge_name': ['Survey', 'Cipher Preset Button', 'TSGDBinary', 'serverless', 'Feistel Barrier', 'I Have Been Pwned', 'Warmup SQLite', 'Password-Ate-Quiz', 'Cached File Viewer', 'simple calc', 'Mystery of Scattered Key', 'Toolong Tea', 'Misbehave', 'Sanity Check'], 'challenge_category': ['cooldown', 'web', 'reversing', 'reversing', 'crypto', 'web', 'reversing', 'pwn', 'misc', 'misc', 'crypto', 'web', 'reversing', 'Warmup'], 'challenge_points': ['1', '210', '205', '221', '150', '189', '189', '108', '113', '156', '125', '100', '114', '100'], 'solve_time': ['2024-12-15T05:56:28.334Z', '2024-12-15T02:43:46.828Z', '2024-12-14T23:13:17.758Z', '2024-12-14T18:41:57.665Z', '2024-12-14T15:02:03.887Z', '2024-12-14T13:28:16.595Z', '2024-12-14T11:40:18.657Z', '2024-12-14T09:45:26.733Z', '2024-12-14T09:33:49.707Z', '2024-12-14T09:20:40.809Z', '2024-12-14T08:19:27.963Z', '2024-12-14T07:58:35.221Z', '2024-12-14T07:50:33.655Z', '2024-12-14T07:14:31.266Z']}"
22,traP,1848,"{'challenge_name': ['Warmup SQLite', 'Mystery of Scattered Key', 'vuln-img', 'Cached File Viewer', 'I Have Been Pwned', 'Cipher Preset Button', 'Scattered in the fog', 'Password-Ate-Quiz', 'Misbehave', 'Sanity Check', 'simple calc', 'Toolong Tea'], 'challenge_category': ['reversing', 'crypto', 'pwn', 'misc', 'web', 'web', 'misc', 'pwn', 'reversing', 'Warmup', 'misc', 'web'], 'challenge_points': ['189', '125', '166', '113', '189', '210', '278', '108', '114', '100', '156', '100'], 'solve_time': ['2024-12-15T06:55:38.576Z', '2024-12-15T06:44:27.977Z', '2024-12-15T02:17:23.056Z', '2024-12-14T14:47:28.298Z', '2024-12-14T14:34:27.013Z', '2024-12-14T13:27:23.251Z', '2024-12-14T10:58:19.208Z', '2024-12-14T09:24:25.435Z', '2024-12-14T08:55:27.030Z', '2024-12-14T07:59:38.645Z', '2024-12-14T07:55:22.885Z', '2024-12-14T07:10:51.221Z']}"
23,spookies,1738,"{'challenge_name': ['Feistel Barrier', 'Survey', 'vuln-img', 'prime shellcode', 'Cached File Viewer 2', 'Mystery of Scattered Key', 'Cached File Viewer', 'Misbehave', 'simple calc', 'Toolong Tea', 'Warmup SQLite', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['crypto', 'cooldown', 'pwn', 'misc', 'misc', 'crypto', 'misc', 'reversing', 'misc', 'web', 'reversing', 'pwn', 'Warmup'], 'challenge_points': ['150', '1', '166', '210', '206', '125', '113', '114', '156', '100', '189', '108', '100'], 'solve_time': ['2024-12-15T06:12:02.718Z', '2024-12-15T06:00:44.281Z', '2024-12-15T05:51:44.402Z', '2024-12-15T03:17:27.772Z', '2024-12-14T22:23:34.214Z', '2024-12-14T19:52:11.435Z', '2024-12-14T18:24:32.613Z', '2024-12-14T17:48:02.715Z', '2024-12-14T14:07:53.506Z', '2024-12-14T12:42:04.900Z', '2024-12-14T11:54:53.357Z', '2024-12-14T08:12:59.763Z', '2024-12-14T07:13:14.419Z']}"
24,cielo,1638,"{'challenge_name': ['Easy? ECDLP', 'Cipher Preset Button', 'piercing_misty_mountain', 'Misbehave', 'Sanity Check', 'I Have Been Pwned', 'Feistel Barrier', 'vuln-img', 'Mystery of Scattered Key', 'Password-Ate-Quiz', 'Toolong Tea'], 'challenge_category': ['crypto', 'web', 'pwn', 'reversing', 'Warmup', 'web', 'crypto', 'pwn', 'crypto', 'pwn', 'web'], 'challenge_points': ['197', '210', '179', '114', '100', '189', '150', '166', '125', '108', '100'], 'solve_time': ['2024-12-15T01:48:36.837Z', '2024-12-14T15:00:31.131Z', '2024-12-14T14:56:56.184Z', '2024-12-14T14:51:58.793Z', '2024-12-14T13:54:32.495Z', '2024-12-14T13:50:57.508Z', '2024-12-14T13:19:54.108Z', '2024-12-14T12:20:23.070Z', '2024-12-14T11:55:08.109Z', '2024-12-14T11:36:59.632Z', '2024-12-14T10:31:58.506Z']}"
25,jinmo123,1515,"{'challenge_name': ['FL_Support_Center', 'piercing_misty_mountain', 'TSGDBinary', 'Cached File Viewer', 'vuln-img', 'Misbehave', 'Password-Ate-Quiz', 'Mystery of Scattered Key', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['pwn', 'pwn', 'reversing', 'misc', 'pwn', 'reversing', 'pwn', 'crypto', 'web', 'Warmup'], 'challenge_points': ['305', '179', '205', '113', '166', '114', '108', '125', '100', '100'], 'solve_time': ['2024-12-15T06:04:14.958Z', '2024-12-15T04:22:00.235Z', '2024-12-14T13:41:23.681Z', '2024-12-14T12:16:15.660Z', '2024-12-14T09:45:42.026Z', '2024-12-14T08:01:43.982Z', '2024-12-14T07:40:04.906Z', '2024-12-14T07:32:18.375Z', '2024-12-14T07:17:11.278Z', '2024-12-14T07:08:10.915Z']}"
26,BKISC,1393,"{'challenge_name': ['Cached File Viewer', 'TSGDBinary', 'Password-Ate-Quiz', 'Feistel Barrier', 'I Have Been Pwned', 'Warmup SQLite', 'Toolong Tea', 'Mystery of Scattered Key', 'Misbehave', 'Sanity Check'], 'challenge_category': ['misc', 'reversing', 'pwn', 'crypto', 'web', 'reversing', 'web', 'crypto', 'reversing', 'Warmup'], 'challenge_points': ['113', '205', '108', '150', '189', '189', '100', '125', '114', '100'], 'solve_time': ['2024-12-15T04:27:54.428Z', '2024-12-15T04:08:13.631Z', '2024-12-15T03:35:00.226Z', '2024-12-14T16:07:17.014Z', '2024-12-14T15:08:53.603Z', '2024-12-14T12:58:06.676Z', '2024-12-14T10:28:32.353Z', '2024-12-14T08:24:28.052Z', '2024-12-14T08:17:12.262Z', '2024-12-14T07:30:00.731Z']}"
27,なかよしCTF部,1382,"{'challenge_name': ['Feistel Barrier', 'Warmup SQLite', 'simple calc', 'Who is the Outlier?', 'Password-Ate-Quiz', 'Misbehave', 'Cached File Viewer', 'Mystery of Scattered Key', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['crypto', 'reversing', 'misc', 'crypto', 'pwn', 'reversing', 'misc', 'crypto', 'web', 'Warmup'], 'challenge_points': ['150', '189', '156', '227', '108', '114', '113', '125', '100', '100'], 'solve_time': ['2024-12-15T05:13:59.494Z', '2024-12-15T03:21:25.898Z', '2024-12-14T17:25:49.243Z', '2024-12-14T17:04:24.341Z', '2024-12-14T14:39:41.494Z', '2024-12-14T12:35:42.062Z', '2024-12-14T09:23:53.978Z', '2024-12-14T08:20:35.477Z', '2024-12-14T07:48:28.115Z', '2024-12-14T07:08:47.018Z']}"
28,LutaNaRyj,1365,"{'challenge_name': ['Misbehave', 'Cipher Preset Button', 'Feistel Barrier', 'I Have Been Pwned', 'Mystery of Scattered Key', 'simple calc', 'Cached File Viewer', 'Toolong Tea', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['reversing', 'web', 'crypto', 'web', 'crypto', 'misc', 'misc', 'web', 'pwn', 'Warmup'], 'challenge_points': ['114', '210', '150', '189', '125', '156', '113', '100', '108', '100'], 'solve_time': ['2024-12-15T02:27:48.786Z', '2024-12-14T20:12:59.033Z', '2024-12-14T17:42:36.886Z', '2024-12-14T17:14:47.024Z', '2024-12-14T16:22:40.928Z', '2024-12-14T15:13:09.139Z', '2024-12-14T12:26:58.834Z', '2024-12-14T12:20:05.849Z', '2024-12-14T12:12:42.596Z', '2024-12-14T11:18:44.527Z']}"
29,Cyber,Dark,"{'challenge_name': ['FL_Support_Center', 'Cached File Viewer', 'Mystery of Scattered Key', 'Toolong Tea', 'Misbehave', 'piercing_misty_mountain', 'vuln-img', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['pwn', 'misc', 'crypto', 'web', 'reversing', 'pwn', 'pwn', 'pwn', 'Warmup'], 'challenge_points': ['305', '113', '125', '100', '114', '179', '166', '108', '100'], 'solve_time': ['2024-12-15T05:42:53.955Z', '2024-12-14T21:22:23.480Z', '2024-12-14T20:37:10.165Z', '2024-12-14T19:05:34.327Z', '2024-12-14T18:44:26.350Z', '2024-12-14T16:11:59.448Z', '2024-12-14T14:25:32.534Z', '2024-12-14T10:41:28.481Z', '2024-12-14T09:51:00.180Z']}"
30,Wani,Hackase,"{'challenge_name': ['piercing_misty_mountain', 'Survey', 'H*', 'Cached File Viewer', 'Mystery of Scattered Key', 'Password-Ate-Quiz', 'simple calc', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['pwn', 'cooldown', 'misc', 'misc', 'crypto', 'pwn', 'misc', 'web', 'Warmup'], 'challenge_points': ['179', '1', '393', '113', '125', '108', '156', '100', '100'], 'solve_time': ['2024-12-15T06:02:32.097Z', '2024-12-15T04:53:07.592Z', '2024-12-14T12:00:21.901Z', '2024-12-14T10:58:12.174Z', '2024-12-14T10:27:31.575Z', '2024-12-14T10:10:05.498Z', '2024-12-14T10:06:59.145Z', '2024-12-14T07:03:20.152Z', '2024-12-14T07:01:06.261Z']}"
31,comparetheflag.com,1212,"{'challenge_name': ['simple calc', 'Misbehave', 'Cached File Viewer 2', 'Password-Ate-Quiz', 'I Have Been Pwned', 'Survey', 'Mystery of Scattered Key', 'Cached File Viewer', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['misc', 'reversing', 'misc', 'pwn', 'web', 'cooldown', 'crypto', 'misc', 'web', 'Warmup'], 'challenge_points': ['156', '114', '206', '108', '189', '1', '125', '113', '100', '100'], 'solve_time': ['2024-12-15T02:14:01.279Z', '2024-12-15T01:53:51.859Z', '2024-12-14T23:42:31.491Z', '2024-12-14T23:38:09.488Z', '2024-12-14T18:51:54.457Z', '2024-12-14T18:03:15.762Z', '2024-12-14T17:56:13.620Z', '2024-12-14T14:25:52.719Z', '2024-12-14T14:11:04.354Z', '2024-12-14T11:47:10.485Z']}"
32,DSGS4T,1194,"{'challenge_name': ['Warmup SQLite', 'Cached File Viewer', 'Mystery of Scattered Key', 'Misbehave', 'Toolong Tea', 'piercing_misty_mountain', 'vuln-img', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['reversing', 'misc', 'crypto', 'reversing', 'web', 'pwn', 'pwn', 'pwn', 'Warmup'], 'challenge_points': ['189', '113', '125', '114', '100', '179', '166', '108', '100'], 'solve_time': ['2024-12-15T01:36:30.806Z', '2024-12-14T20:16:31.719Z', '2024-12-14T20:05:22.578Z', '2024-12-14T18:54:17.612Z', '2024-12-14T18:34:14.967Z', '2024-12-14T18:06:34.953Z', '2024-12-14T17:02:27.578Z', '2024-12-14T16:09:36.543Z', '2024-12-14T15:51:46.853Z']}"
33,rebane2001,1180,"{'challenge_name': ['Cached File Viewer', 'Survey', 'Password-Ate-Quiz', 'Misbehave', 'Cipher Preset Button', 'Scattered in the fog', 'simple calc', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['misc', 'cooldown', 'pwn', 'reversing', 'web', 'misc', 'misc', 'web', 'Warmup'], 'challenge_points': ['113', '1', '108', '114', '210', '278', '156', '100', '100'], 'solve_time': ['2024-12-14T22:04:23.356Z', '2024-12-14T16:15:53.259Z', '2024-12-14T15:08:37.586Z', '2024-12-14T14:18:36.181Z', '2024-12-14T12:23:39.133Z', '2024-12-14T10:53:14.407Z', '2024-12-14T09:23:58.483Z', '2024-12-14T07:07:18.006Z', '2024-12-14T07:00:42.579Z']}"
34,Black,Bauhinia,"{'challenge_name': ['Who is the Outlier?', 'Password-Ate-Quiz', 'Survey', 'Feistel Barrier', 'simple calc', 'Easy? ECDLP', 'Mystery of Scattered Key', 'Toolong Tea', 'Sanity Check'], 'challenge_category': ['crypto', 'pwn', 'cooldown', 'crypto', 'misc', 'crypto', 'crypto', 'web', 'Warmup'], 'challenge_points': ['227', '108', '1', '150', '156', '197', '125', '100', '100'], 'solve_time': ['2024-12-14T23:36:50.410Z', '2024-12-14T23:17:29.817Z', '2024-12-14T15:46:55.762Z', '2024-12-14T14:29:05.254Z', '2024-12-14T11:44:17.676Z', '2024-12-14T09:21:45.537Z', '2024-12-14T08:37:55.481Z', '2024-12-14T07:13:20.048Z', '2024-12-14T07:00:18.813Z']}"
35,superzoo,1133,"{'challenge_name': ['vuln-img', 'Survey', 'Feistel Barrier', 'Cached File Viewer', 'simple calc', 'Password-Ate-Quiz', 'Toolong Tea', 'Misbehave', 'Mystery of Scattered Key', 'Sanity Check'], 'challenge_category': ['pwn', 'cooldown', 'crypto', 'misc', 'misc', 'pwn', 'web', 'reversing', 'crypto', 'Warmup'], 'challenge_points': ['166', '1', '150', '113', '156', '108', '100', '114', '125', '100'], 'solve_time': ['2024-12-14T19:45:31.083Z', '2024-12-14T14:57:02.086Z', '2024-12-14T12:45:25.204Z', '2024-12-14T12:24:57.102Z', '2024-12-14T12:10:33.522Z', '2024-12-14T09:07:47.123Z', '2024-12-14T08:11:12.471Z', '2024-12-14T08:03:55.009Z', '2024-12-14T07:53:04.077Z', '2024-12-14T07:00:41.215Z']}"
36,"{""fury"":","""released""}","{'challenge_name': ['simple calc', 'Scattered in the fog', 'Survey', 'Password-Ate-Quiz', 'Mystery of Scattered Key', 'Misbehave', 'Cached File Viewer', 'Sanity Check', 'Toolong Tea'], 'challenge_category': ['misc', 'misc', 'cooldown', 'pwn', 'crypto', 'reversing', 'misc', 'Warmup', 'web'], 'challenge_points': ['156', '278', '1', '108', '125', '114', '113', '100', '100'], 'solve_time': ['2024-12-14T23:14:05.235Z', '2024-12-14T22:17:39.555Z', '2024-12-14T16:41:14.055Z', '2024-12-14T14:59:05.520Z', '2024-12-14T14:01:27.712Z', '2024-12-14T11:14:55.985Z', '2024-12-14T09:39:37.466Z', '2024-12-14T07:17:59.337Z', '2024-12-14T07:13:54.969Z']}"
37,abbabaab,966,"{'challenge_name': ['Cached File Viewer', 'Feistel Barrier', 'simple calc', 'Password-Ate-Quiz', 'Misbehave', 'Toolong Tea', 'Mystery of Scattered Key', 'Sanity Check'], 'challenge_category': ['misc', 'crypto', 'misc', 'pwn', 'reversing', 'web', 'crypto', 'Warmup'], 'challenge_points': ['113', '150', '156', '108', '114', '100', '125', '100'], 'solve_time': ['2024-12-15T05:14:49.204Z', '2024-12-15T03:19:54.867Z', '2024-12-14T13:51:58.503Z', '2024-12-14T12:27:37.234Z', '2024-12-14T09:40:09.317Z', '2024-12-14T07:48:17.631Z', '2024-12-14T07:38:35.688Z', '2024-12-14T07:00:45.194Z']}"
38,katagaitai,892,"{'challenge_name': ['Misbehave', 'piercing_misty_mountain', 'vuln-img', 'Mystery of Scattered Key', 'Toolong Tea', 'Password-Ate-Quiz', 'Sanity Check'], 'challenge_category': ['reversing', 'pwn', 'pwn', 'crypto', 'web', 'pwn', 'Warmup'], 'challenge_points': ['114', '179', '166', '125', '100', '108', '100'], 'solve_time': ['2024-12-15T06:11:32.872Z', '2024-12-14T20:25:17.038Z', '2024-12-14T13:34:03.200Z', '2024-12-14T08:52:47.729Z', '2024-12-14T08:30:46.823Z', '2024-12-14T08:29:01.265Z', '2024-12-14T08:23:25.501Z']}"
